qid	text	relevant	answers
2856	who is the captain of the indian football team	649	Sunil Chhetri
6806	who supported north vietnam in the vietnam war	660	the Soviet Union::China
3291	when did the 5th circuit became the 11th circuit	671	October 1 , 1981
2813	who had the highest approval rating as president	685	Kennedy
4516	who plays the daughter in santa clarita diet	696	Liv Hewson
1785	vikram samvat is official calendar of which contry	707	Nepal
2103	who sings lead on please let me wonder	718	Brian Wilson
6826	when is season 8 of total divas coming out	729	fall 2018
4569	who wrote the song there goes my everything	740	Jack Greene
6448	when was the first suitcase with wheels invented	751	at least to the 1930s
5980	which team has the most ncaa tournament appearances	769	Kentucky
5169	how many season did shaq play in the nba	780	19
400	who sings the song stuck in the middle with you	791	Stealers Wheel .
3762	who is though she be but little she is fierce about	802	Hermia
2252	what kind of meat is philly cheese steak made out of	813	beefsteak
8361	what is the seatbelt compliancy rate in texas	824	90 % and higher
4388	who played dr frank n furter in rocky horror	835	Tim Curry
4078	who does christine end up with in the phantom of the opera	846	her childhood sweetheart , Raoul
8080	who is known as a father of indian cricket	857	M. Suryanarayan
8298	where did the girl get her arm bitten off	867	Tunnels Beach , Kauai
6894	who is the chairman of the house ethics committee	878	Susan Brooks
1490	what was the purpose of the maxwell land grant	889	encouraging settlement
754	at the constitutional convention who did the delegates agree should elect the president	900	an electoral college
3374	when did apple begin to sell the lisa computer	911	January 19 , 1983
3780	how many seasons of marco polo will there be	922	two seasons
817	list of all government engineering colleges in pune	933	College of Engineering , Pune
3042	how many court of appeals are there in georgia	944	five
6157	where is game 7 of the world series played	955	Dodger Stadium
2925	who is the present chief minister of up	966	Yogi Adityanath
4228	what is the function of the proteins secreted by cells of the ventral midline of the spinal cord	977	patterning the ventral axis
3558	what country did america fight in world war 1	988	Germany::the Austro - Hungarian Empire
7011	who is the republican running for commissioner of agriculture in florida	999	Matt Caldwell
7910	which organization sets monetary policy for the united states	1010	the Federal Reserve
6036	when was the first national draft used in the united states	1021	American Civil War
4242	voice of alvin in alvin and the chipmunks	1032	Ross Bagdasarian Jr .
5786	when was the first two dollar bill issued	1043	1862
1983	what is the name of the period in japanese history that began in 1868	1054	Meiji
3996	what is the meaning of the latin word camera obscura	1065	dark room
3370	who plays katherine in vampire diaries season 8	1076	Nina Dobrev
3594	if the supreme court declares a law unconstitutional they are exercising what principle	1087	judicial review
7109	who is running for governor of virginia in 2017	1098	Cliff Hyra::Ralph Northam::Ed Gillespie
5111	who is the actress that plays summer on the young and the restless	1109	Hunter Haley King
4723	who won o'reilly auto parts 500 in 2017	1120	Jimmie Johnson
8402	who played the original mark fowler in eastenders	1131	David Timothy Scarboro
8260	what kind of animal is boots from dora	1143	anthropomorphic monkey
4892	where is the continental divide on i 70	1154	The Eisenhower Tunnel
236	leader of sikh empire who became maharajah of punjab	1165	Ranjit Singh
6795	what does pt stand for in pt boat	1176	Patrol Torpedo
4142	when was the makkah royal clock tower hotel built	1187	2012
6112	who is the singer of mumford and sons married to	1198	Carey Mulligan
4893	who played boss hogg in the dukes of hazzard	1209	Sorrell Booke
1362	harold and kumar go to white castle where was it filmed	1220	Toronto , Ontario , Canada
6639	who does the voice for maui in moana	1231	Dwayne Johnson
6348	when did fresh prince of bel air start	1242	September 10 , 1990
6836	how many episodes are in season 4 girlfriends guide to divorce	1253	6
3806	when did leeds united win the fa cup	1264	6 May 1972
6551	who is captain miller in saving private ryan	1275	Tom Hanks
5456	when did the radio became a household item	1286	mid-1922
1503	when does season 8 episode 10 of shameless air	1297	January 14 , 2018
6032	where does china girl top of the lake take place	1308	Sydney , Australia
544	who scored maximum goals in a single world cup match	1325	Oleg Salenko
8069	who makes call of duty black ops 4	1336	Treyarch
227	which country has won the world cup two years in a row	1353	Italy::Brazil
1206	who plays the girl in spider man homecoming	1364	Zendaya
8225	who became chief justice of the supreme court after serving as president	1375	William Howard Taft
3675	who was the governor of new york during 9/11	1386	George Elmer Pataki
3193	who is the captain of colombia football team	1398	Radamel Falcao
3172	who has the record for most super bowl losses	1410	Patriots::Denver Broncos
6278	what language was the epic of gilgamesh written in originally	1421	Sumerian
3498	when did the treaty of guadalupe hidalgo happen	1432	February 2 , 1848
6413	when does jessica jones season 2 come out	1443	March 8 , 2018
5604	total number of goals in the world cup 2018	1454	169
6324	who was the land of canaan named after	1465	Canaanites
3682	what part of cow does ribeye come from	1476	rib section
7500	how many countries are there in northern america	1487	23
2599	who did the allies decided to focus on defeating first after pearl harbor	1498	Nazi Germany
129	where does the pulmonary artery take blood to	1509	the lungs
7940	when was the last time canada qualified for world cup	1520	1986
970	river that joins the severn near chepstow crossword	1531	River Wye
6192	when do abby and luka get back together	1543	season 12
2774	the big bang theory season 7 ep 2	1558	`` The Deception Verification ''
6128	is a bannana a fruit or a herb	1569	fruit
516	where are the group of cells that control the natural resting heart rate found	1581	sinoatrial node
3246	who was the mayor of detroit in 1967	1592	Jerome Cavanagh
322	what is the oldest company in the dow jones index	1603	General Electric
8601	who played danny on the young and restless	1614	Michael Damian
8429	when do danny and riley get back together in season 5	1634	Ben - Semination
5965	who wrote ball and chain by social distortion	1645	Mike Ness
3416	when does thrill of it all come out	1656	3 November 2017
85	who did the lions play on thanksgiving last year	1667	Minnesota Vikings
758	when did medicare begin in the united states	1678	1966
7639	when did the new ten pound notes come out	1690	14 September 2017
1539	which mountains would you cross to travel from northern italy to switzerland	1701	The Alps
5060	what is the name of the elf queen in lord of the rings	1712	Galadriel
3340	who is the main character in liv and maddie	1723	Dove Cameron
8754	who are the top 5 leading scorers in nba history	1741	Kareem Abdul - Jabbar::Kobe Bryant::Michael Jordan::Wilt Chamberlain::Karl Malone
5596	what is the seating capacity of charlotte motor speedway	1752	171.000 - 94,000
7059	how many games have the capitals won in the playoffs	1763	two
201	who will get relegated from the premier league 2016/17	1775	Middlesbrough::Sunderland::Hull City
8156	who was the president of confederate states of america	1786	Jefferson Davis
981	who sings just shut up and dance with me	1797	Walk the Moon
1944	the person who is considered to be the founder of the paris haute couture was	1808	Charles Frederick Worth
6293	how many episodes of top of the lake china girl	1830	12
5797	how old was jackie robinson when he was a rookie	1841	28
3629	who wrote the song i dont know my name	1852	VanderWaal
2682	who voices regina in glitter force doki doki	1864	Kumiko Watanabe
2930	which us city is the game of monopoly based on	1875	Atlantic City , New Jersey
3632	when does the last episode of stuck in the middle air	1886	July 23 , 2018
8478	aurangzeb road in the heart of new delhi was re named after which personality	1897	Dr APJ Abdul Kalam
1786	what kind of meat is on a t-bone	1908	beef
8367	was originally created with a 7 bit system using 128 characters	1919	ASCII
4083	who won season ten of rupauls drag race	1930	Aquaria
1630	when did the air jordan 12 come out	1941	November 17 , 1984
1298	what episode of er does sam get kidnapped	1952	`` 21 Guns ''
4687	who sings the song say you love me	1963	Jessie Ware
2816	where does the bbc weather forecast come from	1974	MeteoGroup
5257	who is danica patrick racing for at indy	1985	Ed Carpenter Racing
3124	when does the new ep of riverdale come out	2004	January 17 , 2018
3641	population of the roman empire at its peak	2015	60 -- 70 million
4232	the only child of a president to be born in the whitehouse	2026	Esther Cleveland
235	what is the meaning of the name apoorva	2037	extraordinary::unprecedented::new
5837	who won second place in miss universe 2017	2049	Laura González
6503	who voices jimmy in f is for family	2060	Mo Collins
5545	who is the head of defence in india	2071	Sanjay Mitra
4596	who thought of the 40 hour work week	2082	James Deb
2127	who has hosted the most saturday night live shows	2096	Alec Baldwin
8687	who inspired the title of a raisin in the sun	2107	Langston Hughes
6294	when was the soil and water conservation act passed	2118	1977
5869	what is the best selling nintendo game of all time	2130	Wii Sports
5297	who sang the song how can you mend a broken heart	2141	the Bee Gees
2519	who played cory on cory in the house	2153	Kyle Massey
438	when does the new episode of arrow come out	2164	October 15 , 2018
2662	all praise is due to allah in arabic	2175	Al - ḥamdu lillāh
6398	where does pooh come from in winnie the pooh	2186	Pooh the swan
7280	when does the next season of ink master come out	2197	August 28 , 2018
54	when was the last time the 76ers went to the finals	2208	2001
212	when were the cherokees forced to move west	2219	1831 -- 1850
6172	when did the first iditarod race take place	2230	1973
2778	who is singing the national anthem at super bowl 51	2244	Luke Bryan
7732	who wrote notes on the state of virginia	2255	Thomas Jefferson
1776	when did clemson win the national championship in football	2266	1981 , 2016
3028	what award did leonardo dicaprio won for the revenant	2277	BAFTA Award::Golden Globe Award::Academy Award for Best Actor
573	who was the first test captain of india	2293	CK Nayudu
3226	who has the most saves in a season in mlb history	2304	Francisco Rodríguez
3985	who won gold in rio paraolympic high jump	2315	Mariyappan Thangavelu
5963	what was the number 1 box office motion picture for the week of christmas in december 1997	2330	Titanic
2035	when does drag race all stars 3 premiere	2341	January 25 , 2018
3297	who wrote stand up stand up for jesus	2352	George Duffield , Jr.::George James Webb
4245	korean movie about a man on an island	2363	Castaway on the Moon
5165	who has the most balks in baseball history	2374	Steve Carlton
2433	when did the us send troops to europe in ww1	2385	1917
262	when did season 6 of voltron come out	2396	June 15 , 2018
19	when were manatees put on the endangered list	2407	1966
825	how many laps around the track is 5000 m	2418	12.5
3634	what is the families last name on this is us	2430	Pearson
5074	who is the actor who plays jamie in outlander	2441	Sam Roland Heughan
1267	who won the womens afl grand final 2018	2452	Western Bulldogs
2014	what does the nz national party stand for	2463	The New Zealand National Party
1670	when did how to train a dragon come out	2474	2010
2838	phenothiazines such as chlorpromazine were the first type of	2485	antipsychotic
6340	where was the setting for friday the 13th	2496	Camp Crystal Lake
2701	what year does the movie the prestige take place	2507	1890s
1113	who has highest number of grand slams in tennis	2518	Roger Federer
794	how many episodes in lethal weapon series 3	2529	13
7247	what minute did mario gotze score in the world cup final	2540	the 113th minute
7319	who sings the song spooky little girl like you	2551	Classics IV
113	who plays lorelai in hannah montana the movie	2562	Melora Hardin
6266	when was part c of eahca passed into law	2573	1975
1962	what season of greys anatomy was the plane crash	2584	the eighth season
3158	how many states are in the continental united states	2595	48
2	where do the great lakes meet the ocean	2606	the Saint Lawrence River
95	the story idea for the yellow wallpaper was based on a civil war treatment called	2617	rest cure
4115	who won the hockey game between usa and russia	2628	the U.S. team
5880	which term means the amount of energy in a body or stream of water	2639	power
7991	who holds the 3 point record in nba	2658	Ray Allen
37	what is the horses name in never-ending story	2669	Artax
1599	when was the last time michigan was in the elite eight	2681	2018
2689	who decides where the water in the colorado river system goes	2692	Colorado River Compact
3044	where did the song god bless america originate	2703	Yaphank , New York
4587	when was the second edition of frankenstein published	2714	1823
7366	who ruled the soviet union with sole power in a regime of terror	2726	Stalin
385	who has the worst overall record in the nfl	2738	Tampa Bay Buccaneers
6358	when did the golden age of piracy end	2748	late 1720s
1619	who wrote the song bewitched bothered and bewildered	2759	Vivienne Segal
6770	who did tom brady play in his first super bowl	2770	St. Louis Rams
611	what the world needs now is love singer	2781	Jackie DeShannon
4556	where did this too shall pass come from	2792	Persian Sufi poets
7105	most road maps are what kind of map	2803	navigational map
5872	when does the second half of fear the walking dead season 4 start	2814	August 12 , 2018
3696	who developed the first alternating current electric system	2825	Nikola Tesla
7300	the second energy level can hold how many electrons	2836	eight
1172	when was last time peru went to world cup	2847	1982
3913	when was the stratosphere hotel built in las vegas	2858	1996
4364	when does the incredibles 2 come out in the us	2869	June 15 , 2018
2601	what day is national ice cream day on	2880	the third Sunday in July
2165	when did the tournament of power arc start	2958	February 5 , 2017
2113	veronica mars who does she end up with	2969	Logan Echolls
2456	what is the average income in czech republic	2980	CZK 23,859
7292	who played the joker on the original batman tv show	2991	Cesar Romero
8397	which film was the biggest box office hit of the 1960s	3009	The Sound of Music
5230	actor who played cass winthrop on another world	3020	Schnetzer
4018	who wrote the song the last full measure of devotion	3031	Robert Edward Jager
2940	the pectoralis minor is located deep to which muscle	3042	beneath the pectoralis major
2309	when was the quartering act of 1774 passed	3053	1765
2979	when did the california wildfires of 2017 start	3064	October 2017
5831	who was rebekah married to in the bible	3075	Isaac
271	who was leah married to in the bible	3086	Jacob
1646	who won the most games between the packers and the bears	3097	Packers
8685	who played wilma in the movie the flintstones	3108	Elizabeth Perkins
2683	when did fast and furious 7 start filming	3119	September 2013
5653	where did the term helter skelter come from	3130	British amusement - park ride
3661	when was france occupied by germany in ww2	3141	1940 -- 1944
6663	when did kenny join panic at the disco	3152	2015
7906	when does stefan come back to mystic falls in season 3	3185	`` Disturbing Behavior ''
4002	who made call of duty black ops 2	3196	Treyarch
2548	when is american woman going to be on	3207	June 28 , 2018
7819	when is sonu ke titu ki shaadi releasing	3218	23 February 2018
6361	who wrote it had to be you lyrics	3229	Isham Jones
6906	what is the french word for french toast	3240	pain perdu
8679	what are the names of the hunger game movies	3251	The Hunger Games
4392	distance from las vegas to red wood forest	3262	15 miles
7387	when does luke cage season 2 come to netflix	3273	June 22 , 2018
2455	the cochlea semicircular canals and vestibular sacs make up the	3284	Inner ear
4117	meaning of idiom make a mountain out of a molehill	3295	responding disproportionately to something
8696	who won the 2015 great british baking show	3306	Nadiya Hussain
1586	when was the last person executed in canada	3317	December 11 , 1962
2955	the analects have been attributed to the founder of this religion	3328	Confucianism
7798	where does the last name singh come from	3339	India
6582	what is the difference between dysphagia and odynophagia	3350	painful::difficulty
3916	what kind of series is game of thrones	3361	Fantasy::Serial drama
4740	who sings the theme tune to bulletproof on sky one	3372	Tom Grennan::Chase & Status
5374	who is the childhood prodigy who mastered the mandolin	3384	Srinivas
8383	who has scored the most goals ever in the premier league	3396	Alan Shearer
6578	who has won the most baseball world series	3407	Yogi Berra
2980	which is the microsoft hypervisor integrated in windows server 2008	3418	Hyper - V
8358	what is the name of pakistan film industry	3430	Lollywood
4627	who has the power to impeach the president constitution	3441	House of Representatives
2714	who is the mysterious neighbor in to kill a mockingbird	3452	Boo Radley
2627	who was the founder of buddhism and when was he born	3463	Gautama Buddha
7581	when did the fourth of july become a legal federal holiday	3474	In 1870
3606	who played mark on the tv show roseanne	3485	Glenn Martin Christopher Francis Quinn
3839	how many unesco world heritage sites in uk	3496	31
5959	how much did chelsea sell de bruyne to wolfsburg	3507	£ 18 million
2168	how many episodes of rick and morty will there be	3518	10 episodes
2382	how many seasons of gossip girl are there	3529	6
1658	5 largest cities by population in the us	3607	Los Angeles::New York::Chicago::Houston::Phoenix
2005	who came up with the rule no work no eat	3618	Paul the Apostle
8615	who was president when the bill of rights was added to the constitution	3629	George Washington
3142	who sang take it to the limit eagles	3640	Randy Meisner
4877	is pearl from spongebob a whale or shark	3651	a whale
1990	who plays the white queen in alice through the looking glass	3662	Anne Hathaway
1652	when did the fur trade began in canada	3673	17th century
5671	when did daylight saving start in the us	3684	March 19 , 1918
1913	what is the last comma in a series called	3695	series comma::serial comma::Harvard comma::Oxford comma
6498	most of the united states is a part of which tectonic plate	3706	North American Plate
5912	who won the most medals in 1936 olympics	3717	Germany
5131	when did kiss me kate open on broadway	3728	1948
166	the part of peripheral nerve tissue that forms the myelin sheath is the	3739	Schwann cells
7147	what year was pride and prejudice set in	3750	c. 1812
4329	who oversees and manages the central office of the federal bureau of prisons	3761	Department of Justice
892	when was god put in the pledge of allegiance	3772	Flag Day 1954
3108	the major spacecraft launching centre in south america	3783	Guiana Space Centre
2720	who was the song night shift dedicated to	3794	Jackie Wilson and Marvin Gaye
5431	when was qatar chosen for the world cup	3805	2 December 2010
6060	when was the last time the 76ers made the playoffs	3824	2017 -- 18
18	when did bat out of hell get released	3835	September 1977
2162	where were the two atomic bombs dropped in japan	3846	Hiroshima::Nagasaki
5718	who won the triple crown before american pharaoh	3857	Affirmed
1570	where did they do nuclear testing in nevada	3868	Nevada National Security Site
2538	when was the first black panther comic book written	3879	1966
3365	who played the title character he-man in the 1987 live action movie masters of the universe	3890	Dolph Lundgren
2531	when did south korea and north korea split	3901	May 1946
3824	when does walking dead season 8 episode 10 air	3920	March 4 , 2018
2676	what layer of earth do convection currents occur	3931	asthenosphere
1792	when did us currency leave the gold standard	3942	October 1976
205	when was tasmania cut off from the mainland	3953	10,000 years ago
2611	who was the first person to be legally executed using an electric chair	3964	William Francis Kemmler
3822	what was the owls name in mr rogers	3975	X the Owl
729	what do you call a group of jelly fish	3986	a bloom or a swarm
3497	when did the haves and have nots start	3997	May 28 , 2013
3195	when did senate rules change to 60 votes	4008	1975
5821	what is the capital of zamfara state in nigeria	4019	Gusau
4504	when did the first pretty little liars air	4030	June 8 , 2010
642	what type of pathogen causes ergot of rye	4041	fungus
2238	when did south africa declare war on germany	4052	September 1939
7614	who wrote the protestant ethic and the spirit of capitalism	4063	Max Weber
6863	who has won the most fa cup titles	4074	Arsenal
839	when was the last solar eclipse seen in north america	4085	August 21 , 2017
1580	where is the headquarters for the organization that maintains si standards	4096	Sèvres , France
7528	when did the us join world war one	4107	April 6 , 1917
996	when was alaska added to the united states	4118	January 3 , 1959
8179	what war is the abba song fernando about	4129	The Mexican Revolution of 1910
3753	who is hosting the fifa world cup in 2022	4140	Qatar
2913	what is the record for wins in major league baseball	4151	116
5031	who does freddie highmore play in the golden compass	4163	Pantalaimon
2234	who fought in the second sino japanese war	4174	the Empire of Japan::the Republic of China
7130	who played marlene mcfly in back to the future	4185	Michael J. Fox
2479	who appointed the current members of the supreme court	4222	George W. Bush::Bill Clinton::George H.W. Bush::Barack Obama::Donald Trump
8491	who played the tin man in the wizard of oz 1939	4233	John Joseph Haley Jr
8541	what are all the boroughs in new york	4244	Queens::Manhattan::Brooklyn::the Bronx::Staten Island
8288	who sings the song on shimmer and shine	4255	Melanie Fontana
7517	who appoints the justice of peace in sri lanka	4266	Governor General::British colonial officers::Minister of Justice
1734	who wrote an essay on the principle of population	4277	Thomas Robert Malthus
8747	big boss 2 telugu set location in hyderabad	4288	Annapurna Studios , Hyderabad
8264	a mixture that does not appear to be the same throughout is said to be	4299	heterogeneous
6300	who built kashi vishwanath temple varanasi in 16 century	4310	Raja Todar Mal
4705	how are members of congress and the senate chosen for their office	4321	elected by direct popular vote
7729	what is another name for the midwest region	4332	North Central region
3379	what us president is in the world golf hall of fame	4345	Dwight D. Eisenhower::George H.W. Bush
5497	who sings it was right on the tip of my tongue	4356	Tommy Quickly
1109	list of countries in the horn of africa	4367	Eritrea::Ethiopia::Somalia::Djibouti
7098	who wrote it is well with my soul hymn	4378	Horatio Spafford
6993	who played ice cubes daughter in 22 jump street	4389	Amber Stevens West
5226	how fast did germany take france in ww2	4400	In six weeks
3303	when was the last world cup that brazil won	4412	2002
279	what would the winner of the greek theater contest win	4423	a wreath of ivy
389	who wins at the end of friday night lights	4434	Dallas Carter High School
7268	who tells harry potter that he is a wizard in the harry potter series	4445	Rubeus Hagrid
5314	what is the 2nd most viewed video on youtube	4462	`` Shape of You ''
2413	who was the first rapper to get shot	4475	Scott La Rock
5453	what military museum is located adjacent to eglin air force base in florida	4486	Air Force Armament Museum
2473	the asteroids that cross the orbit of earth belong to a group called the	4497	Earth - crossers
7024	who was the first woman to win the academy award for best adapted screenplay	4508	Frances Marion
4302	when does the 5sos album come out 2018	4519	15 June 2018
4630	the combination of carbon and oxygen would result in what type of bond	4530	covalent
721	who played the drums on in the air tonight	4541	Phil Collins
2283	who surrendered at the battle of fort sumter	4552	Major Anderson
240	what episode of law and order was ludacris on	4563	Screwed::Venom
2340	who wrote red roses for a blue lady	4574	Sid Tepper
2964	who was executed by firing squad in utah	4585	Ronnie Lee Gardner
1716	how many working police commissionerates are there in karnataka	4596	five
4054	when is the finale for rpdr season 10	4607	June 28 , 2018
4890	who won in the battle of britain ww2	4618	Britain
2882	where is the army navy game played in 2016	4629	M&T Bank Stadium
5276	come along with me adventure time air date	4649	August 2018
808	who has won more nascar races ford or chevy	4660	Chevrolet
1484	miss world japan 2016 is a great grand child of a former chief minister of	4671	West Bengal
91	where was sir gawain and the green knight written	4682	late 14th - century
837	who used to be in the big 12	4693	University of Missouri::Texas A&M University::University of Nebraska -- Lincoln::University of Colorado Boulder
1961	where does diffusion occur in the excretory system	4704	diffusion
4343	who did the us support in the korean war	4716	South Korea
76	when was the planning commission set up to prepare a blue print of development for the country	4726	15 March 1950
8036	who are the rebels in a long way gone	4737	the RUF
3915	who was the ruler of france in 1830	4748	Louis Philippe I
4536	when was the last time the huston won the world series	4759	2005
2936	who votes to make someone a presidential party nominee	4770	delegates
3385	longest win streak in major league baseball history	4781	26
448	who pays for the building of the presidential libraries	4792	private and non-federal public sources
7087	what were shoes made of in ancient rome	4803	leather::iron hobnails
8418	who is the football player on being mary jane	4814	Jones
5392	what is the caterpillar smoking in alice in wonderland	4825	a hookah
7726	when do piper and leo have a baby	4836	15
213	when did wet n wild close las vegas	4847	2004
7396	when does twin peaks part 9 come out	4874	July 9 , 2017
1112	when did they stop making paint with lead	4885	1978
2558	where are sugars added to proteins to form glycoprotein	4896	glycation
2053	what was the spruce goose made out of	4907	almost entirely of birch
662	who plays as alvin in alvin and the chipmunks	4918	Justin Long
7043	malcolm in the middle what is their last name	4929	Wilkerson
8279	when does the new season of ink master start 2018	4940	January 9 , 2018
7534	pretty little liars in the books who is a	4951	anonymous character
5562	which is the third largest state in usa	4967	California
4222	when did the ancient chinese civilization begin and end	4978	256 BC::8500
6428	who plays captian hook in once upon a time	4989	Colin Arthur O'Donoghue
7544	when did brides start wearing white wedding dresses	5000	1840
5764	when was the last time philly won a superbowl	5012	2017
200	when did dodge caravan start stow and go	5023	2005
6090	what kind of crab are caught on deadliest catch	5034	opilio crab::king crab
6424	what is the minimun wage in washington state	5045	$15.00
6813	how much aid does us give to other countries	5056	$43.10 billion
8237	when does the movie mom and dad come out	5067	2017
7741	where did the name grizzly bear come from	5078	Meriwether Lewis and William Clark
2167	where does the name kaiser permanente come from	5089	Permanente Medical Groups::Kaiser Foundation Hospitals
8292	where was agatha christie s crooked house filmed	5100	Tyntesfield , near Bristol
6022	the negro act of 1740 was a reaction to what	5111	the Stono Rebellion in 1739
5380	how many teams go to the acc tournament	5118	15
622	when did labor day become an official federal holiday	5129	1894
8578	what is the pink character on sesame street	5158	Deena
4695	who plays jake on two and a half	5169	Angus Turner Jones
56	when did the king kong ride burn down	5180	2008
2459	what landform region is the geological foundation of canada	5191	Canadian Shield
7420	where is the tenderloin located on a cow	5202	psoas major muscle
8421	how old you have to be to drink in jamaica	5216	None
1583	who is the most successful goal scorer in the history of the eufa champions league	5227	Cristiano Ronaldo
5337	who is the oldest bank in the world	5238	Monte dei Paschi di Siena
224	who kills the main character in happy death day	5249	Lori
6574	who wrote hit me with your best shot	5260	Eddie Schwartz
3552	which artist is representative of the detroit blues style	5271	John Lee Hooker
1873	who sang better off dead in the movie better off dead	5282	E.G. Daily
2729	who played gaston in beauty and the beast 1991	5293	Richard White
7850	what does the term breaking the fourth wall mean	5304	is violated::performance convention
4050	who played the mother in ya ya sisterhood	5315	Gina McKee::Cherry Jones
653	who wrote the song i feel the earth move under my feet	5326	Carole King
5694	when did the first election held in india	5337	1951 -- 52
402	when was soccer first introduced in the olympics	5348	1900
8057	what do you call a bundle of hay	5359	bales
210	where did the practice of baptism come from	5370	Tevilah
6364	winner of the fillies triple crown in 1985 crossword clue	5381	Oh So Sharp
5156	where is oxytocin made and what is its function	5392	sexual reproduction::paraventricular nucleus::social bonding
6859	how many episodes is ray donovan season 5	5403	12
700	who played johnny fever on wkrp in cincinnati	5414	Howard Hesseman
106	when was the last time the mavericks missed the playoffs	5428	2017 -- 18
6526	who plays quita on the haves and the have nots	5439	Danielle Deadwyler
4163	when did the ottoman empire take over palestine	5451	1516
7637	who wrote the score for blade runner 2049	5462	Hans Zimmer::Benjamin Wallfisch
6136	how many levels are there in science olympiad	5473	two
6891	who wrote the music for les miserables broadway	5484	Claude - Michel Schönberg
2400	what are the two largest deserts in china	5496	Gobi Desert::Taklamakan Desert
7889	what is the mass of the planet venus	5508	4.8675 × 10 kg
5652	what is the holy book of the jewish religion	5519	Torah
3502	when did the last wooly mammoths die out	5530	4,000 years ago
6385	when did the human right act come into effect	5541	2 October 2000
2893	when did the orange is the new black start	5552	July 11 , 2013
6035	who plays dj kool herc in the get down	5563	Eric D. Hill Jr.
5814	who sang star spangled banner for super bowl	5577	Pink
7262	how many episodes of mr. robot season three	5588	10
5720	where did the bubonic plague start in europe	5599	Sicily::Pisa::Marseille
4936	who plays donald trump on saturday night live	5610	Taran Killam::Phil Hartman::Darrell Hammond::Jason Sudeikis::Alec Baldwin
4548	what are the three measurements of a woman	5621	Bust / waist / hip
5398	michael douglas morgan freeman robert de niro movie	5632	Last Vegas
6640	when does season 14 of keeping up with the kardashians	5643	October 1 , 2017
