qid,text,relevant,answers
4078,who does christine end up with in the phantom of the opera,2148,"her childhood sweetheart , Raoul"
8080,who is known as a father of indian cricket,2158,M. Suryanarayan
8298,where did the girl get her arm bitten off,2163,"Tunnels Beach , Kauai"
6894,who is the chairman of the house ethics committee,2174,Susan Brooks
1490,what was the purpose of the maxwell land grant,2186,encouraging settlement
754,at the constitutional convention who did the delegates agree should elect the president,2218,an electoral college
3374,when did apple begin to sell the lisa computer,2252,"January 19 , 1983"
3780,how many seasons of marco polo will there be,2278,two seasons
817,list of all government engineering colleges in pune,"2307,2308","College of Engineering , Pune"
3042,how many court of appeals are there in georgia,2312,five
6157,where is game 7 of the world series played,2337,Dodger Stadium
2925,who is the present chief minister of up,2372,Yogi Adityanath
4228,what is the function of the proteins secreted by cells of the ventral midline of the spinal cord,2388,patterning the ventral axis
3558,what country did america fight in world war 1,"2408,2409",Germany::the Austro - Hungarian Empire
7011,who is the republican running for commissioner of agriculture in florida,2438,Matt Caldwell
7910,which organization sets monetary policy for the united states,2449,the Federal Reserve
6036,when was the first national draft used in the united states,2490,American Civil War
4242,voice of alvin in alvin and the chipmunks,2553,Ross Bagdasarian Jr .
5786,when was the first two dollar bill issued,2603,1862
1983,what is the name of the period in japanese history that began in 1868,2637,Meiji
3996,what is the meaning of the latin word camera obscura,2711,dark room
3370,who plays katherine in vampire diaries season 8,2754,Nina Dobrev
3594,if the supreme court declares a law unconstitutional they are exercising what principle,2789,judicial review
7109,who is running for governor of virginia in 2017,2836,Cliff Hyra::Ralph Northam::Ed Gillespie
5111,who is the actress that plays summer on the young and the restless,2879,Hunter Haley King
4723,who won o'reilly auto parts 500 in 2017,2890,Jimmie Johnson
8402,who played the original mark fowler in eastenders,2911,David Timothy Scarboro
8260,what kind of animal is boots from dora,2917,anthropomorphic monkey
4892,where is the continental divide on i 70,2943,The Eisenhower Tunnel
236,leader of sikh empire who became maharajah of punjab,2956,Ranjit Singh
6795,what does pt stand for in pt boat,3001,Patrol Torpedo
4142,when was the makkah royal clock tower hotel built,3067,2012
6112,who is the singer of mumford and sons married to,3081,Carey Mulligan
4893,who played boss hogg in the dukes of hazzard,3091,Sorrell Booke
1362,harold and kumar go to white castle where was it filmed,3108,"Toronto , Ontario , Canada"
6639,who does the voice for maui in moana,3121,Dwayne Johnson
6348,when did fresh prince of bel air start,3165,"September 10 , 1990"
6836,how many episodes are in season 4 girlfriends guide to divorce,3181,6
3806,when did leeds united win the fa cup,3213,6 May 1972
6551,who is captain miller in saving private ryan,3223,Tom Hanks
5456,when did the radio became a household item,3268,mid-1922
1503,when does season 8 episode 10 of shameless air,3308,"January 14 , 2018"
6032,where does china girl top of the lake take place,3323,"Sydney , Australia"
544,who scored maximum goals in a single world cup match,3357,Oleg Salenko
8069,who makes call of duty black ops 4,3412,Treyarch
227,which country has won the world cup two years in a row,"3426,3427",Italy::Brazil
1206,who plays the girl in spider man homecoming,3473,Zendaya
8225,who became chief justice of the supreme court after serving as president,3578,William Howard Taft
3675,who was the governor of new york during 9/11,3678,George Elmer Pataki
3193,who is the captain of colombia football team,3727,Radamel Falcao
3172,who has the record for most super bowl losses,3769,Patriots::Denver Broncos
6278,what language was the epic of gilgamesh written in originally,3816,Sumerian
3498,when did the treaty of guadalupe hidalgo happen,3852,"February 2 , 1848"
6413,when does jessica jones season 2 come out,3878,"March 8 , 2018"
5604,total number of goals in the world cup 2018,3903,169
6324,who was the land of canaan named after,3937,Canaanites
3682,what part of cow does ribeye come from,4003,rib section
7500,how many countries are there in northern america,4007,23
2599,who did the allies decided to focus on defeating first after pearl harbor,4074,Nazi Germany
129,where does the pulmonary artery take blood to,4091,the lungs
7940,when was the last time canada qualified for world cup,4100,1986
970,river that joins the severn near chepstow crossword,4109,River Wye
6192,when do abby and luka get back together,4135,season 12
2774,the big bang theory season 7 ep 2,4170,`` The Deception Verification ''
6128,is a bannana a fruit or a herb,4256,fruit
516,where are the group of cells that control the natural resting heart rate found,4316,sinoatrial node
3246,who was the mayor of detroit in 1967,4322,Jerome Cavanagh
322,what is the oldest company in the dow jones index,4336,General Electric
8601,who played danny on the young and restless,4368,Michael Damian
8429,when do danny and riley get back together in season 5,4431,Ben - Semination
5965,who wrote ball and chain by social distortion,4460,Mike Ness
3416,when does thrill of it all come out,4462,3 November 2017
85,who did the lions play on thanksgiving last year,4507,Minnesota Vikings
758,when did medicare begin in the united states,4537,1966
7639,when did the new ten pound notes come out,4632,14 September 2017
1539,which mountains would you cross to travel from northern italy to switzerland,4640,The Alps
5060,what is the name of the elf queen in lord of the rings,4696,Galadriel
3340,who is the main character in liv and maddie,4722,Dove Cameron
8754,who are the top 5 leading scorers in nba history,"4742,4743",Kareem Abdul - Jabbar::Kobe Bryant::Michael Jordan::Wilt Chamberlain::Karl Malone
5596,what is the seating capacity of charlotte motor speedway,4757,"171.000 - 94,000"
7059,how many games have the capitals won in the playoffs,4790,two
201,who will get relegated from the premier league 2016/17,4814,Middlesbrough::Sunderland::Hull City
8156,who was the president of confederate states of america,4845,Jefferson Davis
981,who sings just shut up and dance with me,4855,Walk the Moon
1944,the person who is considered to be the founder of the paris haute couture was,4900,Charles Frederick Worth
6293,how many episodes of top of the lake china girl,4933,12
5797,how old was jackie robinson when he was a rookie,4966,28
3629,who wrote the song i dont know my name,5055,VanderWaal
2682,who voices regina in glitter force doki doki,5096,Kumiko Watanabe
2930,which us city is the game of monopoly based on,5114,"Atlantic City , New Jersey"
3632,when does the last episode of stuck in the middle air,5185,"July 23 , 2018"
8478,aurangzeb road in the heart of new delhi was re named after which personality,5263,Dr APJ Abdul Kalam
1786,what kind of meat is on a t-bone,5267,beef
8367,was originally created with a 7 bit system using 128 characters,5276,ASCII
4083,who won season ten of rupauls drag race,5325,Aquaria
1630,when did the air jordan 12 come out,5357,"November 17 , 1984"
1298,what episode of er does sam get kidnapped,5411,`` 21 Guns ''
4687,who sings the song say you love me,5418,Jessie Ware
2816,where does the bbc weather forecast come from,5423,MeteoGroup
5257,who is danica patrick racing for at indy,5463,Ed Carpenter Racing
3124,when does the new ep of riverdale come out,5557,"January 17 , 2018"
3641,population of the roman empire at its peak,5594,60 -- 70 million
4232,the only child of a president to be born in the whitehouse,5641,Esther Cleveland
235,what is the meaning of the name apoorva,5665,extraordinary::unprecedented::new
5837,who won second place in miss universe 2017,5672,Laura González
6503,who voices jimmy in f is for family,5680,Mo Collins
5545,who is the head of defence in india,5706,Sanjay Mitra
4596,who thought of the 40 hour work week,5714,James Deb
2127,who has hosted the most saturday night live shows,5747,Alec Baldwin
8687,who inspired the title of a raisin in the sun,5759,Langston Hughes
6294,when was the soil and water conservation act passed,5778,1977
5869,what is the best selling nintendo game of all time,5782,Wii Sports
5297,who sang the song how can you mend a broken heart,5792,the Bee Gees
2519,who played cory on cory in the house,5812,Kyle Massey
438,when does the new episode of arrow come out,5829,"October 15 , 2018"
2662,all praise is due to allah in arabic,5959,Al - ḥamdu lillāh
6398,where does pooh come from in winnie the pooh,5965,Pooh the swan
7280,when does the next season of ink master come out,5994,"August 28 , 2018"
54,when was the last time the 76ers went to the finals,5999,2001
212,when were the cherokees forced to move west,6089,1831 -- 1850
6172,when did the first iditarod race take place,6144,1973
2778,who is singing the national anthem at super bowl 51,6184,Luke Bryan
7732,who wrote notes on the state of virginia,6195,Thomas Jefferson
1776,when did clemson win the national championship in football,6211,"1981 , 2016"
3028,what award did leonardo dicaprio won for the revenant,6290,BAFTA Award::Golden Globe Award::Academy Award for Best Actor
573,who was the first test captain of india,6333,CK Nayudu
3226,who has the most saves in a season in mlb history,6356,Francisco Rodríguez
3985,who won gold in rio paraolympic high jump,6359,Mariyappan Thangavelu
5963,what was the number 1 box office motion picture for the week of christmas in december 1997,6369,Titanic
2035,when does drag race all stars 3 premiere,6375,"January 25 , 2018"
3297,who wrote stand up stand up for jesus,6379,"George Duffield , Jr.::George James Webb"
4245,korean movie about a man on an island,6384,Castaway on the Moon
5165,who has the most balks in baseball history,6394,Steve Carlton
2433,when did the us send troops to europe in ww1,6399,1917
262,when did season 6 of voltron come out,6429,"June 15 , 2018"
19,when were manatees put on the endangered list,6448,1966
825,how many laps around the track is 5000 m,6456,12.5
3634,what is the families last name on this is us,6476,Pearson
5074,who is the actor who plays jamie in outlander,6500,Sam Roland Heughan
1267,who won the womens afl grand final 2018,6509,Western Bulldogs
2014,what does the nz national party stand for,6521,The New Zealand National Party
1670,when did how to train a dragon come out,6552,2010
2838,phenothiazines such as chlorpromazine were the first type of,6587,antipsychotic
6340,where was the setting for friday the 13th,6639,Camp Crystal Lake
2701,what year does the movie the prestige take place,6710,1890s
1113,who has highest number of grand slams in tennis,6759,Roger Federer
794,how many episodes in lethal weapon series 3,6777,13
7247,what minute did mario gotze score in the world cup final,6833,the 113th minute
7319,who sings the song spooky little girl like you,6847,Classics IV
113,who plays lorelai in hannah montana the movie,6858,Melora Hardin
6266,when was part c of eahca passed into law,6877,1975
1962,what season of greys anatomy was the plane crash,6883,the eighth season
3158,how many states are in the continental united states,6899,48
2,where do the great lakes meet the ocean,6910,the Saint Lawrence River
95,the story idea for the yellow wallpaper was based on a civil war treatment called,6972,rest cure
4115,who won the hockey game between usa and russia,6998,the U.S. team
5880,which term means the amount of energy in a body or stream of water,7042,power
7991,who holds the 3 point record in nba,7054,Ray Allen
37,what is the horses name in never-ending story,7071,Artax
1599,when was the last time michigan was in the elite eight,7088,2018
2689,who decides where the water in the colorado river system goes,7146,Colorado River Compact
3044,where did the song god bless america originate,7161,"Yaphank , New York"
4587,when was the second edition of frankenstein published,7191,1823
7366,who ruled the soviet union with sole power in a regime of terror,7259,Stalin
385,who has the worst overall record in the nfl,7271,Tampa Bay Buccaneers
6358,when did the golden age of piracy end,7277,late 1720s
1619,who wrote the song bewitched bothered and bewildered,7305,Vivienne Segal
6770,who did tom brady play in his first super bowl,7325,St. Louis Rams
611,what the world needs now is love singer,7457,Jackie DeShannon
4556,where did this too shall pass come from,7471,Persian Sufi poets
7105,most road maps are what kind of map,7475,navigational map
5872,when does the second half of fear the walking dead season 4 start,7481,"August 12 , 2018"
3696,who developed the first alternating current electric system,7529,Nikola Tesla
7300,the second energy level can hold how many electrons,7538,eight
1172,when was last time peru went to world cup,7563,1982
3913,when was the stratosphere hotel built in las vegas,7579,1996
4364,when does the incredibles 2 come out in the us,7598,"June 15 , 2018"
2601,what day is national ice cream day on,7638,the third Sunday in July
2165,when did the tournament of power arc start,7729,"February 5 , 2017"
2113,veronica mars who does she end up with,7809,Logan Echolls
2456,what is the average income in czech republic,7831,"CZK 23,859"
7292,who played the joker on the original batman tv show,7862,Cesar Romero
8397,which film was the biggest box office hit of the 1960s,7926,The Sound of Music
5230,actor who played cass winthrop on another world,8049,Schnetzer
4018,who wrote the song the last full measure of devotion,8053,Robert Edward Jager
2940,the pectoralis minor is located deep to which muscle,8057,beneath the pectoralis major
2309,when was the quartering act of 1774 passed,8062,1765
2979,when did the california wildfires of 2017 start,8075,October 2017
5831,who was rebekah married to in the bible,8094,Isaac
271,who was leah married to in the bible,8112,Jacob
1646,who won the most games between the packers and the bears,8122,Packers
8685,who played wilma in the movie the flintstones,8174,Elizabeth Perkins
2683,when did fast and furious 7 start filming,8198,September 2013
5653,where did the term helter skelter come from,8267,British amusement - park ride
3661,when was france occupied by germany in ww2,8315,1940 -- 1944
6663,when did kenny join panic at the disco,8347,2015
7906,when does stefan come back to mystic falls in season 3,8404,`` Disturbing Behavior ''
4002,who made call of duty black ops 2,8447,Treyarch
2548,when is american woman going to be on,8492,"June 28 , 2018"
7819,when is sonu ke titu ki shaadi releasing,8500,23 February 2018
6361,who wrote it had to be you lyrics,8513,Isham Jones
6906,what is the french word for french toast,8519,pain perdu
8679,what are the names of the hunger game movies,"8528,8529",The Hunger Games
4392,distance from las vegas to red wood forest,8548,15 miles
7387,when does luke cage season 2 come to netflix,8572,"June 22 , 2018"
2455,the cochlea semicircular canals and vestibular sacs make up the,8594,Inner ear
4117,meaning of idiom make a mountain out of a molehill,8610,responding disproportionately to something
8696,who won the 2015 great british baking show,8621,Nadiya Hussain
1586,when was the last person executed in canada,8667,"December 11 , 1962"
2955,the analects have been attributed to the founder of this religion,8686,Confucianism
7798,where does the last name singh come from,8715,India
6582,what is the difference between dysphagia and odynophagia,8724,painful::difficulty
3916,what kind of series is game of thrones,8736,Fantasy::Serial drama
4740,who sings the theme tune to bulletproof on sky one,8861,Tom Grennan::Chase & Status
5374,who is the childhood prodigy who mastered the mandolin,8871,Srinivas
8383,who has scored the most goals ever in the premier league,8888,Alan Shearer
6578,who has won the most baseball world series,8950,Yogi Berra
2980,which is the microsoft hypervisor integrated in windows server 2008,8969,Hyper - V
8358,what is the name of pakistan film industry,9001,Lollywood
4627,who has the power to impeach the president constitution,9053,House of Representatives
2714,who is the mysterious neighbor in to kill a mockingbird,9086,Boo Radley
2627,who was the founder of buddhism and when was he born,9112,Gautama Buddha
7581,when did the fourth of july become a legal federal holiday,9189,In 1870
3606,who played mark on the tv show roseanne,9208,Glenn Martin Christopher Francis Quinn
3839,how many unesco world heritage sites in uk,9215,31
5959,how much did chelsea sell de bruyne to wolfsburg,9248,£ 18 million
2168,how many episodes of rick and morty will there be,9288,10 episodes
2382,how many seasons of gossip girl are there,9317,6
1658,5 largest cities by population in the us,"9392,9393",Los Angeles::New York::Chicago::Houston::Phoenix
2005,who came up with the rule no work no eat,9478,Paul the Apostle
8615,who was president when the bill of rights was added to the constitution,9486,George Washington
3142,who sang take it to the limit eagles,9553,Randy Meisner
4877,is pearl from spongebob a whale or shark,9581,a whale
1990,who plays the white queen in alice through the looking glass,9618,Anne Hathaway
1652,when did the fur trade began in canada,9628,17th century
5671,when did daylight saving start in the us,9669,"March 19 , 1918"
1913,what is the last comma in a series called,9683,series comma::serial comma::Harvard comma::Oxford comma
6498,most of the united states is a part of which tectonic plate,9716,North American Plate
5912,who won the most medals in 1936 olympics,9725,Germany
5131,when did kiss me kate open on broadway,9730,1948
166,the part of peripheral nerve tissue that forms the myelin sheath is the,9756,Schwann cells
7147,what year was pride and prejudice set in,9777,c. 1812
4329,who oversees and manages the central office of the federal bureau of prisons,9822,Department of Justice
892,when was god put in the pledge of allegiance,9845,Flag Day 1954
3108,the major spacecraft launching centre in south america,9879,Guiana Space Centre
2720,who was the song night shift dedicated to,9900,Jackie Wilson and Marvin Gaye
5431,when was qatar chosen for the world cup,9907,2 December 2010
6060,when was the last time the 76ers made the playoffs,9932,2017 -- 18
18,when did bat out of hell get released,9937,September 1977
2162,where were the two atomic bombs dropped in japan,9972,Hiroshima::Nagasaki
5718,who won the triple crown before american pharaoh,10100,Affirmed
1570,where did they do nuclear testing in nevada,10165,Nevada National Security Site
2538,when was the first black panther comic book written,10219,1966
3365,who played the title character he-man in the 1987 live action movie masters of the universe,10298,Dolph Lundgren
2531,when did south korea and north korea split,10323,May 1946
3824,when does walking dead season 8 episode 10 air,10354,"March 4 , 2018"
2676,what layer of earth do convection currents occur,10371,asthenosphere
1792,when did us currency leave the gold standard,10403,October 1976
205,when was tasmania cut off from the mainland,10443,"10,000 years ago"
2611,who was the first person to be legally executed using an electric chair,10491,William Francis Kemmler
3822,what was the owls name in mr rogers,10502,X the Owl
729,what do you call a group of jelly fish,10523,a bloom or a swarm
3497,when did the haves and have nots start,10572,"May 28 , 2013"
3195,when did senate rules change to 60 votes,10627,1975
5821,what is the capital of zamfara state in nigeria,10659,Gusau
4504,when did the first pretty little liars air,10667,"June 8 , 2010"
642,what type of pathogen causes ergot of rye,10719,fungus
2238,when did south africa declare war on germany,10749,September 1939
7614,who wrote the protestant ethic and the spirit of capitalism,10762,Max Weber
6863,who has won the most fa cup titles,10785,Arsenal
839,when was the last solar eclipse seen in north america,10813,"August 21 , 2017"
1580,where is the headquarters for the organization that maintains si standards,10822,"Sèvres , France"
7528,when did the us join world war one,10828,"April 6 , 1917"
996,when was alaska added to the united states,10899,"January 3 , 1959"
8179,what war is the abba song fernando about,10984,The Mexican Revolution of 1910
3753,who is hosting the fifa world cup in 2022,11002,Qatar
2913,what is the record for wins in major league baseball,11034,116
5031,who does freddie highmore play in the golden compass,11048,Pantalaimon
2234,who fought in the second sino japanese war,"11090,11091",the Empire of Japan::the Republic of China
7130,who played marlene mcfly in back to the future,11210,Michael J. Fox
2479,who appointed the current members of the supreme court,"11248,11249,11250",George W. Bush::Bill Clinton::George H.W. Bush::Barack Obama::Donald Trump
8491,who played the tin man in the wizard of oz 1939,11258,John Joseph Haley Jr
8541,what are all the boroughs in new york,11271,Queens::Manhattan::Brooklyn::the Bronx::Staten Island
8288,who sings the song on shimmer and shine,11292,Melanie Fontana
7517,who appoints the justice of peace in sri lanka,11329,Governor General::British colonial officers::Minister of Justice
1734,who wrote an essay on the principle of population,11357,Thomas Robert Malthus
8747,big boss 2 telugu set location in hyderabad,11401,"Annapurna Studios , Hyderabad"
8264,a mixture that does not appear to be the same throughout is said to be,11408,heterogeneous
6300,who built kashi vishwanath temple varanasi in 16 century,11417,Raja Todar Mal
4705,how are members of congress and the senate chosen for their office,11430,elected by direct popular vote
7729,what is another name for the midwest region,11433,North Central region
3379,what us president is in the world golf hall of fame,"11532,11533",Dwight D. Eisenhower::George H.W. Bush
5497,who sings it was right on the tip of my tongue,11540,Tommy Quickly
1109,list of countries in the horn of africa,11543,Eritrea::Ethiopia::Somalia::Djibouti
7098,who wrote it is well with my soul hymn,11602,Horatio Spafford
6993,who played ice cubes daughter in 22 jump street,11613,Amber Stevens West
5226,how fast did germany take france in ww2,11636,In six weeks
3303,when was the last world cup that brazil won,11757,2002
279,what would the winner of the greek theater contest win,11775,a wreath of ivy
389,who wins at the end of friday night lights,11785,Dallas Carter High School
7268,who tells harry potter that he is a wizard in the harry potter series,11807,Rubeus Hagrid
5314,what is the 2nd most viewed video on youtube,11846,`` Shape of You ''
2413,who was the first rapper to get shot,11891,Scott La Rock
5453,what military museum is located adjacent to eglin air force base in florida,11901,Air Force Armament Museum
2473,the asteroids that cross the orbit of earth belong to a group called the,11937,Earth - crossers
7024,who was the first woman to win the academy award for best adapted screenplay,11992,Frances Marion
4302,when does the 5sos album come out 2018,12033,15 June 2018
4630,the combination of carbon and oxygen would result in what type of bond,12039,covalent
721,who played the drums on in the air tonight,12045,Phil Collins
2283,who surrendered at the battle of fort sumter,12091,Major Anderson
240,what episode of law and order was ludacris on,12112,Screwed::Venom
2340,who wrote red roses for a blue lady,12137,Sid Tepper
2964,who was executed by firing squad in utah,12144,Ronnie Lee Gardner
1716,how many working police commissionerates are there in karnataka,12175,five
4054,when is the finale for rpdr season 10,12183,"June 28 , 2018"
4890,who won in the battle of britain ww2,12219,Britain
2882,where is the army navy game played in 2016,12374,M&T Bank Stadium
5276,come along with me adventure time air date,12412,August 2018
808,who has won more nascar races ford or chevy,12433,Chevrolet
1484,miss world japan 2016 is a great grand child of a former chief minister of,12442,West Bengal
91,where was sir gawain and the green knight written,12446,late 14th - century
837,who used to be in the big 12,12513,University of Missouri::Texas A&M University::University of Nebraska -- Lincoln::University of Colorado Boulder
1961,where does diffusion occur in the excretory system,12557,diffusion
4343,who did the us support in the korean war,12570,South Korea
76,when was the planning commission set up to prepare a blue print of development for the country,12575,15 March 1950
8036,who are the rebels in a long way gone,12587,the RUF
3915,who was the ruler of france in 1830,12598,Louis Philippe I
4536,when was the last time the huston won the world series,12640,2005
2936,who votes to make someone a presidential party nominee,12724,delegates
3385,longest win streak in major league baseball history,12748,26
448,who pays for the building of the presidential libraries,12774,private and non-federal public sources
7087,what were shoes made of in ancient rome,12787,leather::iron hobnails
8418,who is the football player on being mary jane,12801,Jones
5392,what is the caterpillar smoking in alice in wonderland,12808,a hookah
7726,when do piper and leo have a baby,12823,15
213,when did wet n wild close las vegas,12834,2004
7396,when does twin peaks part 9 come out,12858,"July 9 , 2017"
1112,when did they stop making paint with lead,12897,1978
2558,where are sugars added to proteins to form glycoprotein,12911,glycation
2053,what was the spruce goose made out of,12921,almost entirely of birch
662,who plays as alvin in alvin and the chipmunks,12944,Justin Long
7043,malcolm in the middle what is their last name,12963,Wilkerson
8279,when does the new season of ink master start 2018,13000,"January 9 , 2018"
7534,pretty little liars in the books who is a,13017,anonymous character
5562,which is the third largest state in usa,13055,California
4222,when did the ancient chinese civilization begin and end,13066,256 BC::8500
6428,who plays captian hook in once upon a time,13157,Colin Arthur O'Donoghue
7544,when did brides start wearing white wedding dresses,13168,1840
5764,when was the last time philly won a superbowl,13180,2017
200,when did dodge caravan start stow and go,13277,2005
6090,what kind of crab are caught on deadliest catch,13310,opilio crab::king crab
6424,what is the minimun wage in washington state,13356,$15.00
6813,how much aid does us give to other countries,13422,$43.10 billion
8237,when does the movie mom and dad come out,13442,2017
7741,where did the name grizzly bear come from,13451,Meriwether Lewis and William Clark
2167,where does the name kaiser permanente come from,13507,Permanente Medical Groups::Kaiser Foundation Hospitals
8292,where was agatha christie s crooked house filmed,13549,"Tyntesfield , near Bristol"
6022,the negro act of 1740 was a reaction to what,13555,the Stono Rebellion in 1739
5380,how many teams go to the acc tournament,13557,15
622,when did labor day become an official federal holiday,13572,1894
8578,what is the pink character on sesame street,13596,Deena
4695,who plays jake on two and a half,13627,Angus Turner Jones
56,when did the king kong ride burn down,13637,2008
2459,what landform region is the geological foundation of canada,13642,Canadian Shield
7420,where is the tenderloin located on a cow,13657,psoas major muscle
8421,how old you have to be to drink in jamaica,13665,None
1583,who is the most successful goal scorer in the history of the eufa champions league,13768,Cristiano Ronaldo
5337,who is the oldest bank in the world,13797,Monte dei Paschi di Siena
224,who kills the main character in happy death day,13808,Lori
6574,who wrote hit me with your best shot,13818,Eddie Schwartz
3552,which artist is representative of the detroit blues style,13826,John Lee Hooker
1873,who sang better off dead in the movie better off dead,13831,E.G. Daily
2729,who played gaston in beauty and the beast 1991,13844,Richard White
7850,what does the term breaking the fourth wall mean,13893,is violated::performance convention
4050,who played the mother in ya ya sisterhood,13909,Gina McKee::Cherry Jones
653,who wrote the song i feel the earth move under my feet,13914,Carole King
5694,when did the first election held in india,13924,1951 -- 52
402,when was soccer first introduced in the olympics,13932,1900
8057,what do you call a bundle of hay,13985,bales
210,where did the practice of baptism come from,14007,Tevilah
6364,winner of the fillies triple crown in 1985 crossword clue,14032,Oh So Sharp
5156,where is oxytocin made and what is its function,14037,sexual reproduction::paraventricular nucleus::social bonding
6859,how many episodes is ray donovan season 5,14095,12
700,who played johnny fever on wkrp in cincinnati,14139,Howard Hesseman
106,when was the last time the mavericks missed the playoffs,14152,2017 -- 18
6526,who plays quita on the haves and the have nots,14160,Danielle Deadwyler
4163,when did the ottoman empire take over palestine,14168,1516
7637,who wrote the score for blade runner 2049,14327,Hans Zimmer::Benjamin Wallfisch
6136,how many levels are there in science olympiad,14382,two
6891,who wrote the music for les miserables broadway,14386,Claude - Michel Schönberg
2400,what are the two largest deserts in china,"14472,14473",Gobi Desert::Taklamakan Desert
7889,what is the mass of the planet venus,14477,4.8675 × 10 kg
5652,what is the holy book of the jewish religion,14549,Torah
3502,when did the last wooly mammoths die out,14694,"4,000 years ago"
6385,when did the human right act come into effect,14748,2 October 2000
2893,when did the orange is the new black start,14777,"July 11 , 2013"
6035,who plays dj kool herc in the get down,14821,Eric D. Hill Jr.
5814,who sang star spangled banner for super bowl,14844,Pink
