qid	text	relevant	answers
20	where do turkeys go after being pardoned by the president	16279	At least one of the turkeys presented to the President has been taken to a farm where it will live out the rest of its natural life. For many years the turkeys were sent to Frying Pan Farm Park in Fairfax County , Virginia. From 2005 to 2009 , the pardoned turkeys were sent to either the Disneyland Resort in California or the Walt Disney World Resort in Florida. In 2010 , 2011 and 2012 , the turkeys were sent to live at Mount Vernon , the estate and home of George Washington. The 2013 , 2014 and 2015 turkeys were sent to Morven Park in Leesburg , Virginia. Virginia Polytechnic Institute housed the 2016 pardoned turkey as well as the 2017 turkeys ; Virginia Tech was chosen.
21	what's the purpose of the english bill of rights	8810,8810	The Bill of Rights lays down limits on the powers of the monarch and sets out the rights of Parliament , including the requirement for regular parliaments , free elections , and freedom of speech in Parliament . It also clarifies who would be next to inherit the Crown .::The Bill of Rights sets out certain basic civil rights and clarifies who would be next to inherit the Crown ; it lays down limits on the powers of the monarch and sets out the rights of Parliament , including the requirement for regular parliaments , free elections , and freedom of speech in Parliament; and It sets out certain rights of individuals including the prohibition of cruel and unusual punishment and reestablished the right of Protestants to have arms for their defence within the rule of law .
22	why is interphase not truly a period of rest	3871	Interphase is the phase of the cell cycle in which a typical cell spends most of its life . This phase was formerly called the resting phase .However , interphase does not describe a cell that is merely resting ; rather , the cell is living , and preparing for later cell division , so the name was changed .
23	who takes photos of planes in the air	8386,8386	Air - to - air photography is the art of photographing aircraft in the air , while using another aircraft as a photo platform . It can be used for commercial use and advertising .::Air - to - air photography is the art of photographing aircraft in the air, while using another aircraft as a photo platform.  The subject aircraft is photographed while both aircraft are in flight.
24	what is the real name of jethalal in taarak mehta ka ooltah chashmah	8214	Dilip Joshi is an Indian film and television actor, acts mostly in comedy and is currently playing the role of Jethalal Champaklal Gada in Taarak Mehta Ka Ooltah Chashmah.
25	where is the dead sea located in the world	22625	The Dead Sea is a salt lake bordered by Jordan to the east and Israel and Palestine to the west.  It lies in the Jordan Rift Valley.
26	cash flow to firm cash flow to equity	-1	-
27	tom petty don't come around here no more meaning	21125	Stevie Nicks had broken up with Eagles guitarist Joe Walsh the night before. Later that morning she told him , `` Do n't come around here no more . ''::The original inspiration was a romantic encounter that producer David A. Stewart of Eurythmics had with Stevie Nicks of Fleetwood Mac. Stevie Nicks had broken up with Eagles guitarist Joe Walsh the night before. Later that morning she told him, ``Don't come around here no more.''
28	introduction to the intel qsys system integration tool	-1	-
29	what is a sapper in the canadian army	20965,20966,20966,20967	In the Canadian Forces, sappers exist both in the regular force and reserve force. The rank of sapper is used instead of private trained to signify completion of the Engineer DP1 course.  The roles of a sapper entail: Bridge building with the ACROW, Bailey, or Medium Girder Bridge bridging systems; explosive ordnance disposal; operating the advanced reverse - osmosis water purification unit, used mainly in domestic operations; maintaining roadways and airfields; combat diving; tactical breaching; and erecting and tearing down friendly living spaces.  Ultimately, the objective of the sappers is to facilitate the living, moving, and fighting for friendly troops on the battlefield, and denying the same to enemy forces.::In the Canadian Forces, sappers exist both in the regular force and reserve force. The rank of sapper is used instead of private trained to signify completion of the Engineer DP1 course. The roles of a sapper entail: Bridge building with the ACROW, Bailey, or Medium Girder Bridge bridging systems; explosive ordnance disposal; operating the advanced reverse - osmosis water purification unit; maintaining roadways and airfields; combat diving; tactical breaching; and erecting and tearing down friendly living spaces. Ultimately, the objective of the sappers is to facilitate the living, moving, and fighting for friendly troops on the battlefield, and denying the same to enemy forces.
30	how did jessica jones get her powers in the show	21068,21068	On the way home, their car collides with a military convoy carrying radioactive chemicals.  Her family is killed, and she spends several months in a coma.  Jessica later discovers that her radiation exposure granted her super strength, limited invulnerability, and flight.::Jessica Jones's radiation exposure when the car she was in collided with a military convoy carrying radioactive chemicals granted her super strength , limited invulnerability, and flight.
31	what does the prime minister of france do	5019	The Prime Minister proposes a list of ministers to the President of the Republic.  All prime ministers defend the programs of their ministry and make budgetary choices.
32	why did the united states begin opening prisons	3915	Starting in the 1820s, a new institution, the ``penitentiary'', gradually became the focal point of criminal justice in the United States. Although its adoption was haphazard at first and marked by political strife -- especially in the South -- the penitentiary became an established institution in the United States by the end of the 1830s.
33	when did the first chucky movie come out	8984,8985,8987,8988	Child 's Play ( also called Chucky )'s original film was released on November 9 , 1988.
34	i just call to say i live you	-1	-
35	where is the world's largest man made lake	1476,1476	Lake Kariba is the world's largest man - made lake. It lies 1300 kilometres upstream from the Indian Ocean , along the border between Zambia and Zimbabwe .::The world's largest man made lake by volume -- Lake Kariba -- lies 1300 kilometres upstream from the Indian Ocean, along the border between Zambia and Zimbabwe.
36	team that qualified for the world cup 2018	-1	-
37	where's the peck of pickled peppers peter piper picked answer	-1	-
38	where does the term making out come from	1393	The sexual connotations of the phrase `` make out '' appears to have developed in the 1930s and 1940s from the phrase 's other meanings of `` to succeed '' .::It's sexual connotation was likely developed in the 1930s and 1940s, from its other meaning of "to succeed".
39	what is the meaning of the word macedonia	10067,10067	The name Macedonia derives from the Greek Makedonia, a kingdom named after the ancient Macedonians. Relations to Indo-European languages has been negated in modern research by Robert S.P. Beekes.::The name Macedonia derives from the Greek Makedonía, and it is cognate to the Ancient Greek adjective μακεδνός ( makednós ) , meaning `` tall , slim '' . It was traditionally derived from the Indo - European root * mak - , meaning ' long ' or ' slender ' , or makros ( ' long , large ' ). It is commonly explained as having originally meant ' the tall ones ' or ' highlanders ' . However , according to modern research by Robert S.P. Beekes , both terms are of Pre-Greek substrate origin and can not be explained in terms of Indo - European morphology .
40	should governments take actions to directly influence the value of their currency	-1	-
41	history of 1st world war in bangla language	-1	-
42	is naples high school track open to public	-1	-
43	show me on a map where ecuador is	3544,3544	Ecuador is a representative democratic republic in northwestern South America , bordered by Colombia on the north , Peru on the east and south , and the Pacific Ocean to the west . Ecuador also includes the Galápagos Islands in the Pacific , about 1,000 kilometres ( 620 mi ) west of the mainland .::Ecuador is in northwestern South America , bordered by Colombia on the north , Peru on the east and south , and the Pacific Ocean to the west . Ecuador also includes the Galápagos Islands in the Pacific , about 620 mi west of the mainland .
44	who has won entertainer of the year the most times	-1	-
45	list the most common elements which bond to carbon	-1	-
46	where is wernickes area located in the brain	5224	Wernicke's area is traditionally thought to be in Brodmann area 22, which is located in the superior temporal lobe in the dominant cerebral hemisphere which is the left hemisphere in about 95 % of right handed individuals and 60 % of left handed individuals.
47	explain the consequences of the postulates of special relativity	-1	-
48	who is owner of papa john's pizza	-1	-
49	who warned that a president who could be reelected again and again may easily become a king	-1	-
50	india and china went to war in 1962	-1	-
51	which of the following is true of the first congress	-1	-
52	which pigment determines the colour of human hair	15735,15736,15736,15737	Eumelanin, which is behind the colors black , blond , and brown, and Pheomelanin, which is behind the red color, are the two pigments that determine the human hair color.::Eumelanin determines the hair colors gray, black, blond and brown, and Pheomelanin, determines red hair color.
53	list of states of australia and their capitals	-1	-
54	fear the walking dead season 1 episode 4 explained	-1	-
55	what is the historical significance of the townshend act	20590,20589,20589	The Townshend Acts were a series of British acts passed beginning in 1767 and relating to the British American colonies in North America.   The Townshend Acts were met with resistance in the colonies, prompting the occupation of Boston by British troops in 1768, which eventually resulted in the Boston Massacre of 1770.::The Townshend Acts were passed to raise revenue in the colonies to pay governors and judges salaries and keep them loyal to Great Britain , to enforce compliance with trade regulations more effectively, to punish the province of New York for failing to comply with the 1765 Quartering Act , and to establish the precedent that the British Parliament had the right to tax the colonies .::The Townshend Acts were passed to raise revenue in the colonies to pay governors and judges salaries and keep them loyal to Great Britain , to enforce compliance with trade regulations more effectively, to punish the province of New York for failing to comply with the 1765 Quartering Act , and to establish the precedent that the British Parliament had the right to tax the colonies .
56	william shatner i can't get behind that lyrics	-1	-
57	song it's now or never by elvis presley	2017,2018	`` It 's Now or Never '' is a ballad recorded by Elvis Presley in 1960 .\n The single is the second best - selling single by Presley , and one of the best - selling singles of all time .
58	where does the last name segovia come from	20656	The name of Segovia is of Celtiberian origin . It comes from two terms of the Celtiberian language of the Celtic branch of Indo - European .
59	what is the song season in the sun about	-1	-
60	which of the following would result in an snp	-1	-
61	what happened to the brother in the accountant	-1	-
62	investigate the nature and role of the sanhedrin	-1	-
63	where is the north pole located on a map	14978,14978	The North Pole is the northernmost point on the Earth, lying diametrically opposite the South Pole.  It defines geodetic latitude 90 ° North, as well as the direction of true north.   The North Pole is at the center of the Northern Hemisphere.::The North Pole is the northernmost point on the Earth, lying diametrically opposite the South Pole. The North Pole is at the center of the Northern Hemisphere.
64	system of a down meaning of chop suey	11984,11984	In an interview , Daron Malakian explained , `` The song is about how we are regarded differently depending on how we pass. The lyric passages ' Father , into your hands I commend my spirit ' and ' why have you forsaken me ? ' are a reference to Jesus ' death on the cross , as , according to the Gospels , it was one of the seven things Jesus said while dying.::The lyric passages ' Father , into your hands I commend my spirit ' and ' why have you forsaken me ? ' are a reference to Jesus ' death on the cross. According to the Gospels , it was one of the seven things Jesus said while dying.
65	where was the video for life in a northern town filmed	7983	Two different music videos were made for the song. The first was made in 1984 and filmed in Hebden Bridge in West Yorkshire, England. The second was filmed in 1985, it was filmed in and around Newcastle upon Tyne with some scenes filmed in Manchester in the UK and in Aliquippa , Pennsylvania , United States.
66	what is the tax rate for lottery winnings in california	4172	All prizes for Fantasy 5, Daily Derby, Daily 3, Daily 4, and non-jackpot SuperLotto Plus, Mega Millions, and Powerball prizes, are paid out in one payment, less 25 % or 33 % (depending upon the winner 's tax documentation) Federal Withholding if the prize is over $5,000. California does not tax California Lottery winnings, however it taxes lottery winnings from other jurisdictions.
67	can you have an ead without a visa	-1	-
68	where does the saying brownie points come from	-1	-
69	the skin fold thickness method of assessing body composition often utilizes the bod pod.​	-1	-
70	when was star spangled banner put to music	21409	Soon after September 20, Thomas Carr of the Carr Music Store in Baltimore published the words and music together under the title `` The Star Spangled Banner '' , although it was originally called `` Defence of Fort M'Henry '' .
71	what happens to toby at the end of the office	22355,22355	In the series finale, it's revealed that Toby was fired immediately after Dwight fired Kevin Malone and Toby then moved to New York where he's trying to become a novelist and has six roommates.  In a photo gallery NBC released of `` where are they now? '' info, it's revealed that Toby has returned to his destiny by taking on an HR position at a TJ Maxx store.::In the series finale, it's revealed that Toby was fired and then moved to New York where he's trying to become a novelist. In a photo gallery NBC released of `` where are they now? '' info, it's revealed that Toby has returned to his destiny by taking on an HR position at a TJ Maxx store.
72	where is river narmada located in india map	10217,10217	The river Narmada is located in central India. It rises from Amarkantak Plateau near Anuppur district.::The river Narmada is located in central India. It rises from Amarkantak Plateau near Anuppur district. It forms the traditional boundary between North India and South India and flows westwards over a length of 1,312 km ( 815.2 mi ) before draining through the Gulf of Khambhat into the Arabian Sea , 30 km ( 18.6 mi ) west of Bharuch city of Gujarat .
73	when does the secretary of state became president	14614	The United States presidential line of succession is the order in which persons may become or act as President of the United States if the incumbent President becomes incapacitated , dies , resigns , or is removed from office ( by impeachment by the House of Representatives and subsequent conviction by the Senate ). The succession follows the order of Vice President , Speaker of the House of Representatives , President pro tempore of the Senate , and then the heads of federal executive departments who form the Cabinet of the United States. The Cabinet currently has fifteen members , beginning with the Secretary of State , and followed by the rest in the order of their positions ' creation.
74	who wrote cant get you out of my head	15432	`` Can't Get You Out of My Head '' is a song recorded by Australian singer Kylie Minogue and jointly written, composed, and produced by Cathy Dennis and Rob Davis.
75	who is the highest official elected in saudi arabia today	-1	-
76	when did baseball become america's national pastime	-1	-
77	who is awarded the honour of victoria cross	15566,15566	The Victoria Cross is awarded to members of the British Armed Forces, people of any military rank in any service and to civilians under military command.::The Victoria Cross, the highest and most prestigious award of the British honours system,  is awarded to members of the British Armed Forces, people of any military rank in any service and to civilians under military command.
78	when was the first vaccine for diphtheria invented	2191	Between 1910 and 1911 , Béla Schick developed the Schick test to detect pre-existing immunity to diphtheria in an exposed person. A vaccine was developed in the next decade.
79	how much were the actors in friends paid	22370,22370	In their original contracts for the first season, cast members were paid $22,500 per episode. The stars were paid $75,000 per episode in season three, $85,000 in season four, $100,000 in season five, $125,000 in season six, $750,000 in seasons seven and eight, and $1 million in seasons nine and ten, making Aniston, Cox, and Kudrow the highest - paid TV actresses of all time.::In their original contracts for the first season of Friends , cast members were paid $22,500 per episode .The cast members received different salaries in the second season , beginning from the $20,000 range to $40,000 per episode . The stars were paid $75,000 per episode in season three , $85,000 in season four , $100,000 in season five , $125,000 in season six , $750,000 in seasons seven and eight , and $1 million in seasons nine and ten , making Aniston , Cox , and Kudrow the highest - paid TV actresses of all time .
80	what is in his eyes from jekyll and hyde about	5507,5506	The song is sung by the two female leads, Lucy and Emma. Emma, Jekyll's fiancé, is a refined young woman who is reluctant to support her husband's experiments fearing that he is becoming too involved in the process. Lucy is a prostitute at a gentlemen's club who becomes infatuated with the Hyde persona, eventually resulting in her death. In this song, they lament about their separate desires for Jekyll / Hyde to see how much they love him and how their lives have been altered by the man and his experiments. They both , separately , come to the realization that their love for him is much too strong to ever truly break away. They recognize that when they look into the eyes of the man they love, they are filled with everything they need to continue on. The song ends with them fully believing that the love they have for Jekyll / Hyde enriches their lives and are committed to doing whatever they can for him.::Jekyll and Hyde tells the story of a doctor , Jekyll , who , trying to find the basis of good and evil , develops an evil alter ego , Hyde .
81	is wellington in the north or south island	27953,27956,27959,27987,27991,27992,27993	Wellington is at a tip of the North Island.
82	positive and negative impacts of internal migration in china	-1	-
83	when was the big mac released in the uk	-1	-
84	where does the cedar river begin and end	22299	The headwaters of the Cedar River are located in Dodge County , Minnesota, with the end point being located in Louisa County , Iowa at the town of Columbus Junction , where it joins with the Iowa River.
85	what happens to hale in sons of anarchy	22516	In the season premiere, Hale is first seen moving into the office of the chief. Later in the episode, Hale keeps vigil over Half-Sack's funeral which is being attended by numerous Sons Of Anarchy members and associates. Even later into the funeral, an unknown party, later revealed to be the Calaveras MC, commits a drive-by shooting, injuring and killing several attendees. Hale tries to stop them by getting in front of their van and firing at the driver, but is killed when the vehicle runs him over.
86	what does the toyota tundra 1794 edition mean	9898	Toyota introduced the 1794 Edition Tundra ,which is designed as a top tier luxury model to compete with the Chevrolet Silverado High Country , Ford King Ranch , Ram Laramie and GMC Denali .\nThe 1794 Edition is a Western themed package which includes Lexus - grade saddle brown leather interior , heated / cooled / powered front seats , wood trimmed steering wheel and dash , power sunroof , blind spot monitoring , an Etune Premium JBL sound system with a navigation system , unique 20 '' Alloy wheels and 1794 Badging .
87	what kind of rock is in joshua tree	11999	The park 's oldest rocks , Pinto gneiss, are in Joshua Tree National Park. Erosion eventually exposed the harder rocks , gneiss and granite , in the uplands and reduced the softer rocks to debris that filled the canyons and basins between the ranges .
88	give me a list of katy perry songs	-1	-
89	what does the general governor of canada do	20757	The Governor General of Canada is the federal viceregal representative of the Canadian monarch, and carries out  most of the monarch's constitutional and ceremonial duties .
90	when does a new school year start in america	21681,21681	There is no one particular day on which all schools start . The first day of school for many school districts is on the Wednesday after Labor Day ( first Monday in September ) . In some other school districts , school begins in August and late July . For example , in San Diego Unified School District , San Diego , California , the first school student 's day of 2017 - 18 school year was set to August 28 .::There is no one particular day on which all schools start. The first day of school for many school districts is on the Wednesday after Labor Day (first Monday in September). In some other school districts, school begins in August and late July.
91	night vision devices use which type of waves	5444	Night - useful spectral range techniques can sense radiation that is invisible to a human observer. Enhanced spectral range allows the viewer to take advantage of non-visible sources of electromagnetic radiation ( such as near - infrared or ultraviolet radiation ) .
92	where do the humphreys live in gossip girl	5821,5821	Dan and his family live in Brooklyn , New York , the alternative of the old - moneyed and conservative Upper East Side .\nWhen his father, marries the wealthy Lily van der Woodsen , the family moves to the Upper East Side .::Dan Humphrey and his family live in Brooklyn , New York , the alternative of the old - moneyed and conservative Upper East Side . When his father, marries the wealthy Lily van der Woodsen , the family moves to the Upper East Side .
93	the line broke the monkey got choked song lyrics	-1	-
94	who proposed 30 different suggestions for why crime remained high in some areas	-1	-
95	when was the first cell phone call made	-1	-
96	tha river of haryana which originates from rajasthan is	-1	-
97	fundamental duties of the constitution have been taken from	-1	-
98	how old is the wife of president of france	16488,16489	Brigitte Marie-Claude Macron born 13 April 1953.::Brigitte Marie - Claude Macron, the wife of the President of the French Republic, Emmanuel Macron, was born on 13 April 1953.
99	what two crops are puerto ricos leading exports	-1	-
100	where does the word fore in golf originated	-1	-
101	how does the mls all star game work	27938,27938	The Major League Soccer All-Star Game is an annual soccer game held by Major League Soccer featuring select players from the league against an international club. Players are awarded rosters spots through a combination of fan voting and selections by the appointed manager and league commissioner.::The Major League Soccer All - Star Game selects players from the league against an international club. It initially adopted a traditional all - star game format used by other North American sports leagues where the Eastern Conference squared off against the Western Conference. This eventually evolved into the current system where the league annually invites a club from abroad to play against a league all - star team. Players are awarded rosters spots through a combination of fan voting and selections by the appointed manager and league commissioner .
102	the latin phrase parens patriae was used to refer to	2216	In law, Latin Parens patriae refers to the public policy power of the state to intervene against an abusive or negligent parent, legal guardian, or informal caretaker, and to act as the parent of any child or individual who is in need of protection.
103	where did the word tar heel come from	21129	The exact etymology of the nickname is unknown, but most folklore believe its roots come from the fact that tar, pitch, and turpentine created from the vast pine forests were some of North Carolina's most important exports early in the state's history. A legend claims it to be a nickname given during the U.S. Civil War, because of the state's importance on the Confederate side, and the fact that the troops ``stuck to their ranks like they had tar on their heels''.
104	orange is the new black female guard actress	-1	-
105	who came up with the concept of time	9789	Artifacts from the Paleolithic suggest that the moon was used to reckon time as early as 6,000 years ago.   Other early forms of calendars originated in Mesoamerica, particularly in ancient Mayan civilization.
106	mad cat laughed at the man on the corner	-1	-
107	who is the choreographer for strictly come dancing	-1	-
108	does newman's own really give all profits to charity	-1	-
109	was nightmare before christmas originally a disney movie	-1	-
110	indian institute of science education and research mohali contact	-1	-
111	who won the civil war the south or the north	5516	The Union, the North, finally won the war when General Robert E. Lee surrendered to General Ulysses S. Grant at the Battle of Appomattox Court House, followed by a series of surrenders by Confederate generals throughout the southern states.
112	how did they make wine in bible times	-1	-
113	stevie wonder that's what christmas means to me	-1	-
114	do us citizens need a visa for kuala lumpur	-1	-
115	what is the story behind the song snuff	16271,16271	Snuff (song) -  not naming names , it 's about someone who helped me through a lot, but then she let me down. It was a good thing she did though, as that gave me the final push to figure myself out.::According to Corey Taylor, the song Snuff is about someone who helped her through a lot and let her down, which was a good a good thing, because it was that final push to her to figure out herself.
116	when do cristina and meredith make up season 5	-1	-
117	what is the difference between a word and a morpheme	22042	A morpheme is not identical to a word , and the principal difference between the two is that a morpheme may or may not stand alone , whereas a word , by definition , is freestanding . Every word comprises one or more morphemes .
118	what is the meaning of rolls royce logo	15289	The Spirit of Ecstasy  carries with it a story about secret passion between Montagu , a pioneer of the automobile movement , and editor of The Car Illustrated magazine from 1902 , and the model for the emblem , Eleanor Velasco Thornton .  Their secret love was to remain hidden for more than a decade because Montagu was married and Eleanor was of an impoverished social status.
119	where is cancer constellation located in the sky	4594,4594,4598	Cancer is a medium - size constellation, it's brightest star is Beta Cancri. Located at the center of the constellation is Praesepe ( Messier 44 ) , one of the closest open clusters to Earth and a popular target for amateur astronomers .::Cancer (constellation) is located at the center of the constellation is Praesepe ( Messier 44 ) , one of the closest open clusters to Earth and a popular target for amateur astronomers .
120	who sings at the beginning of nice for what	28386,28386,28389	`` Nice for What '' is a song recorded by Canadian rapper Drake and features additional vocals by Big Freedia and 5th Ward Weebie .::Nice for What featured additional vocals by Big Freedia and 5th Ward Weebie.
121	the function of the semicircular canals​ is	21810	Each semicircular canal is filled with a fluid called endolymph and contains motion sensors within the fluids . At the base of each canal , the bony region of the canal is enlarged which opens into the utricle and has a dilated sac at one end called the osseous ampullae . In the horizontal canal , ampullopetal flow is necessary for hair - cell stimulation , whereas ampullofugal flow is necessary in the anterior and posterior canals .
122	who won the battle of the bull run	1711	Gen. Robert E. Lee 's Army of Northern Virginia won the Second Battle of Bull Run against Maj. Gen. John Pope's Army of Virginia.::NA
123	who discovered the titanic wreck site and when	21454,21454	Ballard realized that looking for the wreck itself using sonar was unlikely to be successful, he would look for the debris field instead, using Argo's cameras rather than sonar.  At 12.48 am on Sunday 1 September 1985 pieces of debris began to appear on the research vessel Knorr's screens, and the following day, the main part of the wreck was found.::Ballard realized that looking for the wreck itself using sonar was unlikely to be successful, he would look for the debris field instead, using Argo's cameras rather than sonar. At 12.48 am on Sunday 1 September 1985 pieces of debris began to appear on the Knorr's screens, and the following day, the main part of the wreck was found.
124	who talks for simba in the lion king	10157	Matthew Broderick provided the speaking voice of Adult Simba and Jonathan Taylor Thomas was cast as the speaking voice of Young Simba .
125	at least two lewis structures can be used to represent a particular covalent species	-1	-
126	when did the us place an embargo on cuba	7989,7989	An embargo was first imposed by the United States on sale of arms to Cuba on March 14, 1958, during the Fulgencio Batista regime.  Again on October 19, 1960 (almost two years after the Batista regime was deposed by the Cuban Revolution) the U.S. placed an embargo on exports to Cuba except for food and medicine after Cuba nationalized American-owned Cuban oil refineries without compensation.  On February 7, 1962 the embargo was extended to include almost all imports.  Currently, the Cuban embargo is enforced mainly through six statutes: the Trading with the Enemy Act of 1917, the Foreign Assistance Act of 1961, the Cuban Assets Control Regulations of 1963, the Cuban Democracy Act of 1992, the Helms--Burton Act of 1996, and the Trade Sanctions Reform and Export Enhancement Act of 2000.   In 1999, President Bill Clinton expanded the trade embargo by also disallowing foreign subsidiaries of U.S. companies to trade with Cuba.::An embargo was first imposed by the United States on sale of arms to Cuba on March 14, 1958, during the Fulgencio Batista regime. On October 19, 1960, the U.S. placed an embargo on exports to Cuba except for food and medicine after Cuba nationalized American-owned Cuban oil refineries without compensation. On February 7, 1962 the embargo was extended to include almost all imports. Currently, the Cuban embargo is enforced mainly through six statutes: the Trading with the Enemy Act of 1917, the Foreign Assistance Act of 1961, the Cuban Assets Control Regulations of 1963, the Cuban Democracy Act of 1992, the Helms--Burton Act of 1996, and the Trade Sanctions Reform and Export Enhancement Act of 2000. In 1999, President Bill Clinton expanded the trade embargo by also disallowing foreign subsidiaries of U.S. companies to trade with Cuba.
127	what is a billing zip code on credit card	-1	-
128	who sang the song the reverend mr black	2485	The Reverend Mr. Black was recorded by The Kingston Trio in 1963 for their album and covered for the album by Johnny Cash The Baron.
129	who is given credit for inventing the printing press	20919	The world 's first movable type printing press technology for printing paper books was made of porcelain materials and was invented around AD 1040 in China during the Northern Song Dynasty by the inventor Bi Sheng ( 990 -- 1051 ) .\nAround 1450 Johannes Gutenberg , introduced the metal movable - type printing press in Europe.
130	how to reach red light area in kolkata	-1	-
131	price of ps3 when it first came out	1906,1934,1906	The 20 GB model was priced at US $499 ( € 499 ) and 60 GB model was priced at US $599 ( € 599 ).::The PS3 came in two hardware configurations. The 20 GB model was prices at US $499 (€499) and the 60 GB model at US $599 (€599).
132	my little pony friendship is magic season 8 episode 15	-1	-
133	which of the following factors is not affecting the sv	-1	-
134	what was the british economic policy of mercantilism	15783	With respect to its colonies, British mercantilism meant that the government and the merchants became partners with the goal of increasing political power and private wealth, to the exclusion of other empires.  The government protected its merchants--and kept others out--through trade barriers, regulations, and subsidies to domestic industries in order to maximize exports from and minimize imports to the realm.   The goal of mercantilism was to run trade surpluses, so that gold and silver would pour into London.  The government took its share through duties and taxes, with the remainder going to merchants in Britain.  The colonies were captive markets for British industry, and the goal was to enrich the mother country.::With respect to its colonies, British mercantilism meant that the government and the merchants became partners with the goal of increasing political power and private wealth, to the exclusion of other empires. The government protected its merchants--and kept others out--through trade barriers, regulations, and subsidies to domestic industries in order to maximize exports from and minimize imports to the realm.
135	who played david brent's girlfriend in the office	-1	-
136	what is fate of ovum after ovulation of menstrual cycle	-1	-
