original_class,passage,index,predicted_class
sports,"Dolphins LB Thomas Out for Sunday #39;s Game: DAVIE, Fla. (Sports Network) - Miami Dolphins linebacker Zach Thomas will miss Sunday #39;s game against the Buffalo Bills with a hamstring injury.",25,sports
science_technology,"Tech groups push for R D credit, Internet tax ban:  Technology lobbying groups are stepping up their push for lawmakers to pass several pieces of legislation.",26,science_technology
sports,"Don #39;t blame Manuel, yet: You walk around feeling like your team is messing this up, that they #39;re doing it wrong, that the Phillies are doomed to unending futility - even when they do something right.",27,sports
science_technology,Idaho Residents Seek Compensation for Nuclear Tests (Reuters): Reuters - Dozens of Idaho residents who\claim nuclear tests conducted during the 1950s made them sick\asked a panel of scientists on Saturday to recommend that the\U.S. government compensate them.,28,science_technology
world,"Three ministers face the boot amid fears of a Zanu PF rift: As the Zanu PF story takes new twists and political intrigue continues, three Cabinet ministers and a provincial governor face the sack for their role in the much-publicised Tsholotsho Declaration.",29,world
business,"Coke, EU Strike Deal, End Antitrust Probe: The Coca-Cola Co. (KO.N: Quote, Profile, Research) reached an agreement with the European Commission on Tuesday to settle a five-year antitrust case that ",30,business
business,"United Airlines Likely to Terminate Pension Plans: nited Airlines said today that it was likely to terminate and replace its four employee pension plans with less-generous benefits, a drastic move that the airline said was necessary to attract the financing that would allow it to ...",31,business
world,Arafat #39;s death opens door for peace: Yasser Arafat #39;s death opens a window of opportunity. The Palestinian leader who loomed so large for so many years - and who had recently been rejected as a partner by Israel ,32,world
science_technology,"Intel backs away from TV chips: Intel Corp. is scrapping plans to enter the digital television chip business, marking a retreat from a major component of its consumer electronics initiative.",33,science_technology
science_technology,"Google woos Froogle UK shoppers: Search giant Google has launched a beta of the UK version of its shopping search technology, Froogle. The site looks like its Google parent in design with the addition of links to recent popular product searches on the home page.",34,science_technology
science_technology,"Livewire: Beep! Beep! Ultra-Fast Broadband Is Here:  LONDON (Reuters) - For Rainer Kinnunen, life has been a bit  of a blur since he signed up for a superhigh-speed Internet  service three years ago.",35,science_technology
science_technology,"Sun Unveils Free Solaris: Sun Microsystems Inc. today is expected to unveil the much-awaited free version of its Operating System, Solaris 10, which the company is betting on to help neutralize the open-source threat and increase profitability.",36,science_technology
business,"J.P. Morgan Chase Profit Falls 13 Percent:  NEW YORK (Reuters) - J.P. Morgan Chase   Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=JPM.N target=/stocks/quickinfo/fullquote""&gt;JPM.N&lt;/A&gt; posted  lower third-quarter earnings on Wednesday, missing analyst  expectations, as costs from its July merger with Bank One Corp.  and anemic fixed-income trading revenue hurt profits.",37,business
business,"Microsoft seeks to suspend EU order : LUXEMBOURG -- Microsoft Corp. told a European Union court yesterday that it would suffer irreparable harm if forced to reveal more of its software code to rivals, while the EU said such information was crucial to keep competitors alive.",38,business
sports,"Free-Agent Crop Continues to Grow: For the second straight year, more than 200 players have filed for free agency, which would have suited former Oakland A's owner Charlie Finley just fine.",39,sports
world,"ElBaradei Says Unclear if Iran Nuke Plans Peaceful:  VIENNA (Reuters) - It is unclear if Iran's nuclear  ambitions are entirely peaceful, but there is still no firm  evidence that Tehran is secretly developing atomic weapons as  Washington asserts, the U.N. nuclear watchdog said Tuesday.",40,world
science_technology,"Ex-Veritas CTO loads up on shares (SiliconValley.com): SiliconValley.com - Recently departed Veritas Software Chief Technology Officer Fred van den Bosch has added to his holdings in the Mountain View company's stock, at least for now.",41,science_technology
world,Congo prepares to retake Kilwa: A town in the mineral rich Katanga region of the Democratic Republic of Congo has fallen to a mysterious group of militants. Going by the name of the Liberation Movement for ,42,world
science_technology,"Trade Deficit Soars; Jobless Claims Rise (AP): AP - The trade deficit jumped to the second-highest level in history as surging demand for foreign oil swamped a small gain in U.S. exports, the government reported Thursday. America's trade gap with China hit an all-time high as retailers stocked up on cell phones, toys and televisions in preparation for Christmas sales.",43,business
science_technology,Subscription-Style Software Licenses Continue Upward Trend (TechWeb): TechWeb - Merrill Lynch's On-Demand Index shows a slight increase in subscription and hosted software in the second quarter.,44,science_technology
science_technology,"Ellison: Oracle may cut its PeopleSoft bid: NEW YORK - Soon after an Oracle Corp. director said Oracle's current \$21 per share offer for control of PeopleSoft Inc. may not be its final bid, Oracle Chief Executive Officer (CEO) Larry Ellison countered that the company is as likely to lower its bid as to raise it.",45,business
science_technology,"SugarCRM sweetens new open-source CRM product: SEPTEMBER 08, 2004 (COMPUTERWORLD) - Open-source software start-up SugarCRM Inc. will release the first commercial enterprise version of its Linux-based open-source CRM application tomorrow, starting at \$149 per seat for the first year.",46,science_technology
science_technology,Australia Music Industry Decries Kazaa: Lawyers for Australia #39;s recording industry branded the popular Kazaa file-swapping network  quot;an engine of copyright piracy to a degree of magnitude never before seen quot; as they launched a court battle to shut down Kazaa #39;s illegal ,47,science_technology
business,"Avon Lowers U.S. Sales Forecast (Reuters): Reuters - Avon Products Inc.  on Friday\posted a 33 percent increase in third-quarter profit, but\continued concerns over weakness in the United states pushed\the stock 7 percent lower.",48,business
business,"Update 1: Philippine Shares End Higher: The 30-company Philippine Stock Exchange Index ended up 16.90 points, or 1.1 percent, at 1,573.27, after giving up 2.4 percent in the past two sessions, including Wednesday #39;s 0.7 percent loss. ",49,business
science_technology,"Stripped down Longhorn still offers gems: SEPTEMBER 06, 2004 (IDG NEWS SERVICE) - Even though Microsoft Corp. #39;s much-anticipated Longhorn has been stripped of its unified file system and some of its other key Longhorn technologies will be available for Windows XP and Windows Server 2003, the next ",50,science_technology
business,US FCC Aims to Lift Airborne Wireless Phone Ban: Airline travelers might be able to use their mobile phones and other wireless devices in the air under a proposal put forward by US communications regulators on Wednesday to ease the current ban.,51,science_technology
business,"Cemex snaps up RMC for 2.3bn: RMC Group, the world #39;s largest maker of ready-mixed concrete, today accepted a 2.3bn takeover bid from Mexico #39;s Cemex, the world #39;s third-largest cement maker.",52,business
science_technology,"Feds Issue Test Copies of E-voting Software: NOVEMBER 01, 2004 (COMPUTERWORLD) - Federal officials last week released a set of software files submitted by five vendors of e-voting systems and voting verification tools, saying that election officials can use the code and related digital signatures to ",53,science_technology
science_technology,"Expedition 9 Crew Returns to Earth: NASA -- International Space Station Expedition 9 crewmembers, Commander Gennady Padalka and NASA Science Officer Mike Fincke landed on target in the steppes of Kazakhstan at 8:36 pm EDT Saturday after 188 days in space.",54,science_technology
business,"Krispy Kreme Earnings Slide; Change in Strategy Is Planned: Krispy Kreme, which wowed Wall Street with a hot old-economy growth story when it went public, has lost more than two-thirds of its value since it peaked a year ago.",55,business
sports,"Busch sweeps Loudon: No. 19 takes lead in Nextel Cup: Kurt Busch claimed a stake in the points lead in the NASCAR Chase for the Nextel Cup yesterday, winning the Sylvania 300 at New Hampshire International Speedway.",56,sports
business,"UK Regulators Criticize Shell in Settlements (Update1): UK regulators criticized Royal Dutch/Shell Group, Europe #39;s second-largest oil company, for unprecedented misconduct #39; #39; in the overstatement of reserves that led to fines of \$151.",57,business
business,"Fed Officials: No Inflation Alarm Bells:  PHILADELPHIA (Reuters) - The Federal Reserve, while  remaining watchful as prices and interest rates tick higher, is  holding to its mantra that rate increases will be ""measured,""  senior Fed officials indicated on Friday.",58,business
sports,"Singh Wins 84 Classic, Breaks Woods #39; Record: FARMINGTON, Pa. -- Vijay Singh held off Stewart Cink #39;s fast finish to win the 84 Lumber Classic by one shot Sunday and break Tiger Woods #39; one-year PGA Tour money record.",59,sports
world,"Loud Blast Shakes Baghdad, Casualties Feared (Reuters): Reuters - A loud explosion rocked a cafe\frequented by Iraqi police near the Australian embassy in\Baghdad on Sunday, witnesses said.",60,world
sports,Surprise Greek winner in 20km walk: Outsider Athanasia Tsoumeleka snatched the women #39;s Olympic 20km race walk title after a thrilling finish to give hosts Greece their first athletics gold of the Games.,61,sports
business,St. Paul sees storms paring EPS by 45c: Insurer St. Paul Travelers said the three major hurricanes that hit the US east coast in recent months will cut 45 cents from its third-quarter earnings per share.,62,business
world,Australian court convicts drug addict of murdering Stuttle (AFP): AFP - A drug addicted-drifter was found guilty by a Supreme Court jury of murdering a teenage English backpacker by throwing her from a bridge after robbing her of her handbag.,63,world
science_technology,Linux release features Windows support: Release makes use of technology from CodeWeavers to let customers run applications from Microsoft.,64,science_technology
world,"Israeli Copter Strike Kills Palestinian: An Israeli helicopter fired two missiles toward a crowd of Palestinians on the outskirts of a refugee camp early Saturday, killing a 55-year-old man and wounding five people, all civilians, hospital officials said.",65,world
business,"Shrek creator makes dream debut: Spurred on by a large, green ogre, buoyed by a school of wise-cracking fish and with a podgy superhero helping its cause, DreamWorks Animation yesterday saw its share price rise by 41 on its first day of trading.",66,business
science_technology,"Paris city authority hedges bets on Linux move: PARIS -- The city of Paris intends to reduce its dependence on software suppliers with ""de facto monopolies,"" but considers an immediate switch of its 17,000 desktops to open source software too costly, it said Wednesday.",67,science_technology
business,"PSA buys key stake in Hong Kong port operator: Singaporess PSA gained a much-sought foothhold in Hong Kong with an agreement to buy a stake in Asia Container Terminals, a port operator in the worlds busiest container hub, from Sun Hung Kai Properties.",68,business
business,"Sears and Kmart in \$11bn merger: Wall Street analysts were sent reeling by the surprise \$11 billion (6bn) merger of retailers Sears Roebuck and Kmart. The deal, which was unanimously approved by both companies ",69,business
business,"Away on Business: Islands of Refuge:  CHICAGO (Reuters) - Today's highly stressed business  travelers may need islands of respite to restore the spirit and  calm the tensions that build with security checks, crowded  flights and navigating a car in unfamiliar territory.",70,business
world,ADB grants 200 million dollars for Philippines health sector (AFP): AFP - The Asian Development Bank (ADB) said it has approved two loans totalling 213 million dollars to improve the health sector in the Philippines.,71,world
science_technology,Feds Kick Off HDTV Consumer Campaign: By JENNIFER C. KERR    WASHINGTON (AP) -- It's one of the biggest technical changes in television since color TV: the digital transition...,72,science_technology
world,"Peace Prize a well-deserved honour: Sometimes what at first seems like a minor change can actually signal major shift in understanding. Last week, Kenyan deputy environment minister Wangari Maathai won the Nobel Peace Prize - a wonderful achievement for two reasons.",73,world
science_technology,New Google tool searches desktop: Some of the real estate coveted most by the Internet giants isn #39;t on the Internet at all. It #39;s on your computer hard drive.,74,science_technology
world,World waits and prays as family makes appeal to kidnappers: THEY have been riven with terror as the world watches the plight of Ken Bigley. But yesterday his family came together to reach out to his captors with emotional pleas for mercy.,75,world
science_technology,New: Tellabs to lower Advanced Fibre price: NAPERVILLE - Tellabs Inc. plans to lower its price for Advanced Fibre Communications Inc. to \$1.5 billion from the \$1.9 billion announced May 20.,76,business
world,No Deal on Ending Baghdad Clashes-Senior Sadr Aide:  BAGHDAD (Reuters) - The chief spokesman for rebel Iraqi  cleric Moqtada al-Sadr said on Wednesday no deal had been  agreed with Iraq's government to end fighting in Baghdad's  Shi'ite slum district of Sadr City.,77,world
business,"US stocks end higher; Dow snaps 5-week winning streak: NEW YORK (CBS.MW) -- US stocks ended higher Friday, buoyed by a raft of positive corporate news, including a raised earnings outlook from Ford, but a near 4 percent rise in crude-oil prices kept a lid on gains.",78,business
business,"Stocks Down, Starbucks, Techs Fall:  NEW YORK (Reuters) - U.S. stocks were slightly lower on  Thursday, as a broker downgrade on the semiconductor industry  rattled investors, while coffee-shop chain Starbucks &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SBUX.O target=/stocks/quickinfo/fullquote""&gt;SBUX.O&lt;/A&gt;  disappointed with slowing growth.",79,business
business,"Schroeder Seeks More Budget Leeway, Says Euro Gains Worrying #39;: German Chancellor Gerhard Schroeder, saying the euro #39;s gains against the dollar are worrying, #39; #39; called for changes to European Union budget rules to give governments more leeway on spending.",80,business
science_technology,Macs under attack ... kind of: PETALING JAYA: Sophos Plc is urging Mac OS X administrators to arm themselves against an  quot;anti-security quot; worm known as  quot;Renepo.,81,science_technology
world,Family  #39;Devastated #39; by Woman Soldier #39;s Iraq Death: The brother of the first British female soldier to die in Iraq since the war began said today her family were trying to come to terms with her death.,82,world
science_technology,"Google Unfolds 3D Mapping Acquisition: Augmenting its technology assets and pushing into subscription services, Google (Quote, Chart) announced today that it has acquired digital mapping specialist Keyhole for an undisclosed sum.",83,science_technology
sports,"Pavano tagged for five runs, 12 hits in defeat: com. The Cubs dealt the Marlins #39; playoff hopes a severe blow with a convincing 5-1 victory in the first game of a doubleheader Monday afternoon at Pro Player Stadium.",84,sports
business,Telstra shares up on Ziggy #39;s exit: Shares in Telstra rose slightly following the news chief executive Ziggy Switkowski would step down - but the focus remains on who will step up to take the job.,85,business
world,"Ofek-6 failure considered major setback for Israeli intelligence &lt;b&gt;...&lt;/b&gt;: By israelinsider staff September 7, 2004. The loss yesterday of the Ofek-6 spy satellite, due to a malfunction in its Shavit rocket launcher, is expected to delay Israel #39;s plans for more sophisticated surveillance ",86,science_technology
science_technology,"Self-Destructing DVDS to Reach More People (AP): AP - The Christmas-themed movie ""Noel"" most likely won't be coming to a theater near you  #151; but if you miss it on cable, there's always the self-destructing DVD.",87,science_technology
business,"Interstate Bakeries Files for Bankruptcy:  NEW YORK (Reuters) - Interstate Bakeries Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=IBC.N target=/stocks/quickinfo/fullquote""&gt;IBC.N&lt;/A&gt;,  maker of Hostess Twinkies and Wonder Bread, filed for  bankruptcy on Wednesday after struggling with more than \$1.3  billion in debt and high costs.",88,business
world,Iraqi wins court battle over death in British jail: THE family of an Iraqi civilian who was beaten to death allegedly by British soldiers while in their custody won a landmark case in the High Court yesterday that will have ,89,world
science_technology,Pesticide study using children as test subjects postponed: WASHINGTON Ethical concerns have prompted the government to postpone a study of how children #39;s bodies absorb pesticides and other chemicals.,90,science_technology
sports,"Colts don #39;t follow Dungy plan: Not allowing a 12-yard sack on third down with less than a minute to play, turning a potential game-tying 36-yard field goal into a 48-yarder.",91,sports
sports,"Lewis Waits For His Rival: NEW YORK: Lennox Lewis was the main topic here when it was announced that Vitali Klitschko, the World Boxing Council No. 1 heavyweight contender, will fight Kirk Johnson over 12 rounds at Madison Square Garden on December 6.",92,sports
sports,A New Dance Partner: Miami - Shaquille O #39;Neal looked up from his chair and locked eyes with Dwyane Wade as Wade interrupted O #39;Neal #39;s audience with the assembled news media.,93,sports
sports,UPDATE 1-TV executive Barwick wins top job at English FA: Television executive Brian Barwick was given the top job in English football on Thursday when he was appointed Football Association chief executive.,94,sports
sports,"Lots of Points for Top-Tier NFL Teams (AP): AP - Points were in abundance for some of the NFL's top teams, even in road games.",95,sports
science_technology,"Philippine telcos lead world in texting profits (AFP): AFP - Philippine carriers Smart Communications and Globe Telecom lead telcos worldwide in reaping revenues from cellular data transfers, according to a report in Business World.",96,science_technology
world,"Former US Ambassador to Israel Dennis Ross Shares Experiences at &lt;b&gt;...&lt;/b&gt;: Dennis Ross, the former US ambassador to Israel, joined Washington, DC, area students at The George Washington University last week to talk about his experiences in Israel and dispel myths about the Middle East.",97,world
world,"Iraqi militant group beheads  quot;collaborator quot;: website: A militant group in Iraq, the Armyof Ansar al-Sunna, said in a statement on its website on Saturdayit beheaded an Iraqi man it accused of collaborating with USforces.",98,world
science_technology,"Chartered to Manufacture AMD64 Processors in 2006: AMD64 is a new computing platform that extends the ubiquitous x86 architecture to accommodate 64-bit processing. Formerly known as x86-64, AMDs enhancements to the x86 architecture allow users of laptops ",99,science_technology
science_technology,"Web Site Helps Compare Gasoline Prices (AP): AP - Hate it when you fill 'er up and, five minutes later, spot another station selling gas for a nickel a gallon cheaper?",100,science_technology
science_technology,"Macworld Boston moves to new venue (MacCentral): MacCentral - Framingham, Mass.-based IDG World Expo on Friday announced that Macworld Boston, which returned to Massachusetts last year, would be leaving the new Boston Convention  amp; Exhibition Center (BCEC) in favor of the Hynes Convention Center for the 2005 summer show. Show organizers cite venue size as the main reason for moving the event.",101,science_technology
science_technology,"Arrival! SMART-1 Moon Probe Reaches Target (SPACE.com): SPACE.com - UPDATE: Story first posted 6:49 a.m. ET, November 16, \2004",102,science_technology
world,"Two Palestinians killed in Gaza: Israeli troops shoot two Palestinians who entered a closed military area in Gaza, near the Israeli border.",103,world
science_technology,"New  #39;Skulls #39; Mutant Releases Cabir Virus on Phones: Anti-virus vendors have spotted a new strain of the  quot;Skulls quot; Trojan sneaking into Symbian-based cell phones, and this one drops the Cabir worm on the devices.",104,science_technology
sports,"Schilling to be examined Saturday: BOSTON -- Surgery on Curt Schilling #39;s right ankle is now scheduled for Tuesday, assuming all goes well Saturday when the doctors involved are to examine the Red Sox right-hander.",105,sports
sports,"Manning Decent in Debut but Giants Lose (AP): AP - Although the spotlight was on Eli Manning, Jake Delhomme shone the brightest.",106,sports
science_technology,"AOL to let nonsubscribers in: In a move both risky and essential, AOL is abandoning its strategy of exclusivity and will free much of its music, sports and other programming to nonsubscribers in hopes of increasing ad sales.",107,science_technology
world,Russia Agrees to Write Off Iraqi Debt to Paris Club: Russia agreed on Sunday to forgive up to 80 percent of Iraqs debts to the Paris Club (about \$33 billion). A US Treasury official quoted by Reuters said they received this information from Russia.,108,world
sports,"Weingartner, Washington fall in Seoul: Seoul, Korea (Sports Network) - Third-seeded German Marlene Weingartner and fourth-seeded American Mashona Washington were a pair of opening-round upset victims Monday at the inaugural Korea Open Tennis Championships.",109,sports
sports,FANS WANT TRINIDAD- HOPKINS II: IT took just eight explo- sive rounds for Felix  quot;Tito quot; Trinidad to put himself back atop boxing #39;s mantle of greatness.,110,sports
world,"Somalia inaugurates transitional gov #39;t: Somalia inaugurated a transitional parliament Sunday, taking an important first step toward forming a new government for the devastated country even as rivalries continue ",111,world
business,"Bank customers to lose 'float' time: Horace Small knows it's a bad idea to write checks without enough money in the bank to cover them. But with property taxes and car insurance making huge dents in his income, the neighborhood organizer occasionally relies on the  quot;float quot; -- the two or three days it takes for checks to clear -- to juggle all of his payments.",112,business
science_technology,More uses planned for the  quot;Cell quot; processor: We recently reported on Cell processor details that were unveiled to the public. This time around Sony and partners IBM and Toshiba made clear in a joint statement ,113,science_technology
business,"For Boston Scientific, a potential threat: Boston Scientific Corp. could face tougher competition in markets for cardiac products if talks between two of its largest competitors lead to a merger, analysts and investors said.",114,business
sports,Rulon #39;s Retirement the End of an Era: You #39;ve surely heard by now that Wyoming wrestler Rulon Gardner is bringing home another Olympic medal. This time it #39;s a bronze.,115,sports
science_technology,"Search Spotlight Pans to Video: After years of taking a back seat to easier-to-crawl HTML pages, multimedia files are beginning to gain respect among search engines.",116,science_technology
sports,"Ronaldinho #39;s genius signals a power shift: Ronaldinho was so in the groove before kick-off that he actually danced in the tunnel. Barcelona #39;s catalyst did not just flick out a leg, so loosening limbs for imminent exertion against Real Madrid.",117,sports
science_technology,"Gateway PC Delivers New Motherboard Standard: Gateway #39;s new 700GR desktop PC, based on a new chassis design that focuses on helping cool high-end processors and graphics cards, will be available this weekend at US retail stores.",118,science_technology
science_technology,"Microsoft to Create Security Suite?: Microsoft announced today that it had bought New York software company Giant Company Software, which produces a robust anti-spyware tool.",119,science_technology
sports,"Illinois Proves Rank: Sporting their brand-new No. 1 ranking, Illinois reigns 14 three-pointers on Chicago State as the Illini cruise to a 78-59 triumph on Monday night.",120,sports
business,"Northwest Airlines, pilots reach tentative deal on wage &lt;b&gt;...&lt;/b&gt;: MINNEAPOLIS Northwest Airlines has won tentative concessions worth 265 (m) million dollars annually from pilots -- a major first step toward its goal of slashing labor costs by 950 (M) million dollars.",121,business
sports,"Patel, Pathan defy Australia: Bangalore - Parthiv Patel and Irfan Pathan put on 60 for the seventh wicket to prop up India on the third morning of the first Test against Australia here on Friday.",122,sports
science_technology,"AOL adds anti-spam features to version 9.0: AOL will be adding a host of new features designed to combat spam, virii and spyware to version 9.0 of its browser. The package, known as  #39;AOL 9.0 Security Edition #39; is a free download which was available from Thursday.",123,science_technology
sports,"Liverpool keep dream alive: Running on pure adrenalin, attacking in relentless red waves towards a beseeching Kop, Liverpool fought back magnificently against the dying of their Champions League light last ",124,sports
business,"GM to cut 12,000 jobs in Europe: US car giant General Motors says it is to shed 12,000 jobs in Europe, with Germany bearing the brunt of the losses.",125,business
business,"Cingular works to certify Audiovox smart phone for its network: Cingular Wireless LLC is testing Audiovox #39;s Windows Mobile smart phone for use on its network, a move indicative of the complications surrounding the carrier #39;s combination with AT amp;T Wireless Services Inc.",126,science_technology
business,Jaguar Gets Low Crash Test Score: The 2004 Jaguar X-Type got the worst rating of any midsize sedan in side-impact crash tests conducted by the insurance industry.,127,business
world,"Palestinians say US destroys hope over settlements: RAMALLAH: Palestinians yesterday accused the United States of destroying hopes of negotiations with Israel for a Palestinian state, after the US signalled it could accept some growth of settlements in the West Bank.",128,world
sports,Ichiro Ties Sisler's Season Hits Record (AP): AP - Ichiro Suzuki tied the 84-year-old major league record for hits in a season with No. 257 when he chopped a leadoff single to left field Friday night.,129,sports
sports,"No. 1 Illini Cruise to 78-59 Win: The University of Illinois took the Assembly Hall court on Monday night with a number one ranking in the ESPN / USA Today Coaches and AP Polls for the first time since January 23, 1989.",130,sports
business,"2nd UPDATE: HK Govt Land Sale Sets Post- #39;97 Price Record: HONG KONG (Dow Jones)--A post-1997 price record was set Tuesday at a Hong Kong government land sale, reflecting the bullish outlook of property developers for the residential market after several lean years.",131,business
business,Slip a Geek Book Under the Tree: Tech gifts needn't be electronic. Geeks and non-geeks alike can enjoy the old-fashioned pleasure of curling up by the fire with a good read. Michelle Delio reviews a passel of new books just in time for the holiday season.,132,science_technology
science_technology,"On Mars, no life yet, but plenty blue screens of death: Evidence from busy rovers suggests one-time presence of water, but system reboots almost dried up the sea of data.",133,science_technology
business,"Google IPO: Type in 'confusing,' 'secrecy': I've submitted my bid to buy shares of Google Inc. in the computer search company's giant auction-style initial public offering. That could turn out to be the good news or the bad news.",134,business
world,"Oil prices threaten fresh record: Opec's president says oil supply is adequate as the price of US light, crude comes within 4 cents of its all-time record.",135,business
science_technology,South Africa to Take Pulse of Its Environment (Reuters): Reuters - They may share a\border but South Africa's Kruger National Park and the copper\mines around the town of Phalaborwa are worlds apart.,136,science_technology
world,Death toll rises to 63 in Shaanxi coalmine explosion: At least 63 miners have been killed in the Chenjiashan coal mine gas explosion in Northwest China #39;s Shaanxi Province and more than 100 miners remained trapped underground.,137,world
science_technology,"Sun: MS truce clears way to open source Solaris: &lt;strong&gt;LinuxWorld&lt;/strong&gt; If that's selling out, we want to sell out more often",138,science_technology
science_technology,"Technology ; Mozilla #39;s Firefox renews browser war: Technology News, A new front has been opened in the long-dormant browser war, with an open-source program called Firefox aiming to challenge Microsoft #39;s dominant Internet Explorer.",139,science_technology
world,Confusion over visa for Dalai Lama visit: MOSCOW: A spokesman for the Tibetan exile government in India said yesterday that Russia has issued the Dalai Lama a visa to visit Buddhists in its Kalmykia region and that he could make the trip as early as tomorrow.,140,world
business,"Five convicted, one acquitted in conspiracy, fraud trial: HOUSTON Jurors stung a bit of Wall Street by convicting four former Merrill Lynch and Company executives and a former midlevel Enron finance executive of conspiracy and fraud.",141,business
