original_category,narrative,index,predicted_category
debt_collection,got turned made impossible work day knowing time received check mail go deposit say loan interest control sometimes get paid last person get paid transaction close additional governing factor make easier company would start calling whenever payment late first day past due date time day asked contact however never honored request communication became literal harassment yet office never available communicate sent account attorney served civil warrant attempted talk attorney office separate occasion asked negotiate amount owed told contact company call company negotiate amount owed even attorney never attempted negotiate amount company never provided term loan writing intentionally make hard pull credit every month intentionally damaging credit told give permission pull credit said right absolutely crazy pay still pull credit like wo negotiate lesser paid full balance everyone negotiates outstanding balance say term provided much damage choose literally company malicious mortgage lender would soft pull damage person credit intentionally trying continued damage even continued make hard pull credit even sent attorney even though say allowed talk seriously someone need review small company people,68,mortgages_and_loans
credit_reporting,credit pulled lender preparation buying home upon conducting credit inquiry lender informed derogatory remark credit citi bank charge card transaction airfare billeting responsible called citi bank call duration called citi bank inquire derogatory remark confirmed address stated would send aware document trying find resolve issue never sent documentation previously called citi bank call duration called citi bank inquire could resolve lender informed similar filing bankruptcy singular basis one specific debt result derogatory remark one credit called citi bank call duration called citi bank asked speak fraud department told calling notify needed help disputing fixing inaccurate derogatory remark credit person spoke told responsibility refused allow dispute asked speak supervisor said would manager call back within missed call citi bank fraud department called citi bank call duration called citi bank back spoke representative name told would fraud dept manager call back within hour citi bank called duration fraud dept called back informed manager would calling back recovery dept matter provided recovery dept information called citi bank call duration called recovery dept spoke recovery dept representative sp notify disputing needed help removing inaccurate derogatory remark credit history rude uncooperative specifically told citi bank would help resolve matter asked supervisor transferred supervisor named claimed employee number also conveniently current home residence apartment number claimed correct protocol contacting citi bank regarding matter already sent would need contact three credit bureau directly notified multiple time formally disputing responsibility fraudulent credit reporting resulting derogatory remark told would anything would open investigation asked supervisor informed would call back within incoming call call duration spoke employee id told help already issued explained due matter irs despite never financial responsibility begin,63,credit_card
mortgages_and_loans,leased car toyota successfully paid lease payment time except technical glitch system payment immediately despite report account credit bureau went return car xxxxxxxx tried lease another car inflated rate declined refused take back delivery vehicle saying due covid parking space available asked come back end space told wo pay additional lease want keep car anymore car leased mile year availed tenure car returned delivery document also received received letter toyota returend car charge paid frivolous made charge never agreed time reaching toyota phone online portal never attend call name covid even return call call twice collect car never showed send another fraudulent bill adding lease termination charge fact lease came end payment made time outsanding lease lease termination article toyota exploiting customer name covid http internet flooded toyota fraudulent malpractice blackmailing consumer continue taking vehicle slap never agreed charge never applied lease extension fact pay three month insurance want toyota pay toyota harrassing spoiling credit history credit bureau wrongfully fraudulently manipulating contract ended reopened extortive courtesy credit union toyota lillegal acitivities http http,61,credit_card
mortgages_and_loans,paid remaining balance account credit account due promo payback credit offered time opening account interest paid full loan amount called customer service number inform company still received check credit representative insisted check sent mail receive business day called question happened check supposed mailed home address representative told unsure happened would put investigation determine going told would receive call back within week call figure going told check sent cashed account let representative know account exist state told picture check signature asked picture sent via email told possible could receive copy mail business day today date yet receive refund image check representative told nothing could would cancel first check send new one told file police report thought someone took check mailbox call try sort happened report fraudulent activity told account number check signature employer account personal checking account,72,credit_card
mortgages_and_loans,fire house saved experienced damage insurance carrier prompt great job sent check window melted damaged made chase bank mortgage holder check chase endorsed check applied pressure work completed vendor paid work insurance company sent check additional work including wrought iron fence work including cleanup le disruptive vendor always show late held check window done took proof chase office chase want deposit fund internal account make go process everytime someone need reimbursed put necessary burden family especially time owe current value house chase made payment time want money held escrow account put additional burden stressful time reason given percentage ownership property well payment history,75,credit_card
debt_collection,consumer collection mana placed account credit report amount original lender following information listed reported amount past due account type credit limit payment information never heard never received written communication allowing opportunity request vod mine apply credit somewhere properly billed send supporting document please never contacted writing negative mark credit,82,credit_reporting
debt_collection,creditor refuse provide income statement account receivable account payable,83,credit_card
mortgages_and_loans,deceptive lending practice made personal loan one main financial rate apr never missing payment never missed payment initially due pandemic reduction income request interest reduction agreed reduction would truly interest deduction form trick would add interest principle balance thus approximately party agreed interest reduction agreed upon interest rate made payment newly agreed upon one main financial source way increase rate payment lender attempting increase back one main financial state increase related state afford original payment stated unhappiness omf requested loan payoff total upon omf increase interest rate back requesting remain day last payment making month payment one main financial claim owed approximately original amount loan addition one main financial elect make comment credit report rate reduction agreed,90,credit_reporting
mortgages_and_loans,end term final bill dated received via usps charging exterior damage include substantiating documentation kind detailing type damage necessary repair repair statement included photo mechanic documentation would substantiate charge document indicates page documentation excluded error call lease end team resulted assurance could gotten information requested online making consumer responsibility get information provided finance company substantiate invoice,85,credit_card
mortgages_and_loans,executive summary citibank making impossible pay trivial balance refusing supply address send check even valid phone number receive information instead adding late fee collection fee since seems somewhat incredible providing detail trying month resolve thanks help offer greeting despite fact maintain good credit rating citibank suddenly informed cutting overdraft credit line attached checking account checking plus amount outstanding trying week get citibank supply address may send check remaining balance approximately since citibank severed online banking access longer confirm exact amount look account still see balance reading longer call account rate decided close checking account able citibank online chat function since repeated attempt telephone failed transferred existing checking balance credit credit line asked agent pay remaining amount already paid remaining balance trivial note able pay amount transferring checking acct balance account closed avenue payment longer available responded follows give call custom credit department done instantly direct number please contact one stop sale unit asked know exactly payment may transmitted responded call pull fund bank account also send check kindly call tell specific called number directed none menu option pertained task went alternate path repeated attempt eventually managed speak someone however unable understand name instructed call collection account terminated referred collection told number call repeated make sure correct also affirmed late charge collection fee added balance phoned number recording said number tried several time point dead end citibank making literally impossible pay trivial debt adding late fee collection fee implore whatever help thank p matter loyal citibank customer since first new york washington dc forty year assure count nothing naturally also attempted pay bill online citibank site responds message account detail activity information available closed,86,credit_card
retail_banking,want call email situation gon na copied emailed sent ombudsman office federal reserve dear ombudsman office federal reserve system hello name want know file complaint bank aka bb federal reserve board office controller currency united state send two prisommary note dollar registered security bb north carolina usps bb supposed trade later deposited credit brokerage account bb mr talk trading office number bb north carolina week tuesday wednesday tuesday acted like note mailed lost today stating one rep received note operation building bb rejected promissory note gon na mailed back mailing address know bb bank copied information promissory note valued totalling dollar stole money note part want proper file complaint branch banking trust company aka truist financial corporation proper banking regulatory enforcement agency united state contact cell emailed,92,credit_card
credit_card,region bank acc continue reporting id fraud outdated account mine never done business bank formal complaint filed fdic unfair practice account fdci case,104,credit_reporting
credit_card,see approved without impact credit got experian thought custodian credit rating applied fico score impacted contact reply,111,credit_reporting
debt_collection,wf crd svc claim owe account opened result identity theft informed company also provided police report refuse take credit charged amount effecting credit hindering first time home buyer claim account opened,116,credit_card
credit_reporting,continue refresh outdated account old account violates fdcpa fcba cra vilates section account,118,credit_card
debt_collection,federal tax refund returned refund process withheldon date president announced executive action related national emergencyfor repayment defaulted federal student loan federal tax refund returned process withhold refund completed letter show department education state need return refund attached document treasury department taken make arraignment phone type communication directly need back year refund call number provided loan invest time calling get fund back obligation return year refund file suit fraud damage incurred year collect refund back settle returning refund back year take loan credit,124,credit_card
mortgages_and_loans,declared chapter bankruptcy granted bankruptcy court private student loan peak private loan included bankruptcy peak loan notified bankruptcy sure court well receiving phone call peak informed attorney contacted peak behalf end phone call worked least temporary attended graduating even loan peak wiped clean part bankruptcy cfpb state district columbia ordered peak stop collection cancel outstanding loan owns relating request credit reporting bureau delete peak entry well done either already contacted attorney like file formal complaint people harassing long,132,debt_collection
debt_collection,account account mine contacted equifax time remove account mine show proof verify even sent hard copy proof showing mine,134,credit_reporting
credit_reporting,attached first qualified written request qwr item required select portfolio servicing sps prove standing collect mortgage payment without proving spss standing sps illegally accessed credit report false pretext invading pr ivacy fcra sps collecting money via escrow account yet refused pay property insurance since corrupt company u servicing mortgage loan customer feedback sps main business goal fradulently foreclose seize people home,143,mortgages_and_loans
retail_banking,month made conversion one digital currency another conversion disclosure fee transaction actually say coinbase fee transaction see example image stated order preview conversation post conversion realized post conversation dollar amount far le pre conversation dollar amount upon complaining coinbase received following note expert type derivative transaction entirely false claim fund reserved liquidity volatility risk mitigation fund need returned beneficial owner retained coinbase also gone back several time clarification asking exact mechanic refused address several hello like explain happened fiat value fund received exact value expecting depending volume price order order book time conversion created conversion may fill price le favorable recent trade price case significantly commonly referred cause order produce result favorable equal le favorable original expectation per pricing fee disclosure http coinbase applies spread two percent digital currency conversion however actual spread may higher lower due market fluctuation price digital currency coinbase pro time quote price time order executes charge separate coinbase fee digital currency conversion hope information help regard many day even week transferring money money fully debited arround still often unavailable transfer coinbase likely using fund internally generate revenue,71,credit_card
debt_collection,mailed letter copy attached ensure received payment check record indicate check cashed called around informed received money told would received check within day however receive anything called around insisted check cashed completely swear get check asked proof told would send mail however receive anything filed fraud report gave case supposed get back never heard anything back feel wasting time want get sick forget however completely unfair believe important story published online people know,140,credit_card
debt_collection,past transaction using reporting party creditor profile completely refunded item returned citibank allows third party thief enter break home steal financial statement copy card allow entry online banking review manage financial information aside resolve vendor dispute reporting party belief created highlight bad faith dealing involves unauthorized third party thief,139,credit_card
debt_collection,new posting three credit bureau medical bill subsidy medical bill filed bankruptcy wisconsin law medical bill go collection credit file anyway,187,credit_reporting
retail_banking,fraudulent charge totaling made capital one checking account via debit card seeing charge immediately canceled debit card informed capital one fraudulent charge disputed charge posted account issued provisional credit pending determination claim received form letter bank denying claim money withdrawn account opened appeal denial capital one bank person every contacted discus original claim make determination furthermore never lost possession debit card authorized person use capital one sent new debit card authorized via usps replace debit card set expire card sent fraudulent charge occurred never received card believe card intercepted fraudulently activated used make fraudulent purchase complained activated card several time capital one complained fraudulent charge last call dispute denial claim never noted account asked several time person making determination claim contact person making complaint malfeasance gross business practice sending replacement card without authorization letting said card activated use credit purchase without authorization fraud reported claim made contacting discus complaint making determination appealed denial capital one bank claim number also made complaint local police dept division financial service regard fraudulent charge,190,credit_card
retail_banking,layout format previous submission messy resubmit put content pdf attachment complaint boa alleged abuse discretion systemic discrimination im resident u believe nothing wrong bank america misleading sale abuse discretion possible systematic discrimination ethnic minority five boa account closed difficult pandemic time cant pay online go solve various financial shopping issue family regardless risk area highest number infected state especially simply searched inquired complaint data boa suspect boa systematic discrimination disadvantaged customer group malicious abuse discretionary power granted law maximize boa minimize risk deliberately harm interest customer similar discrimination case layout format previous submission messy resubmit put content pdf attachment,211,credit_card
mortgages_and_loans,initial request net credit please see attached credit report advised score dropped point error processing day past due addition please see attached screen shot taken via credit monitoring via please expedite correction scheduled refinance primary residence note netcredit reporting current via pdf report attachment however red exclamation point reflects updated discrepancy however pdf report please escalate first response please see attached ledger paid payment paid payment reading email correspondence regarding investigation request sure internal system reflect payment received day past due please see attached transaction summary validating payment fact made timely manner customer service representative communicated could see payment made processed month manager calling within hour address concern spoke two service representative spoke manager collection friday communicated late per account assessment score horrific result egregious error would obliged channel escalate concern highest level management courtesy process refinancing property next month job interview require consumer reporting evaluation prior securing based documentation submitted review determined paid installment thirteen due account became thirty day past due payment satisfied reported loan credit reporting agency time installment fourteen due paid second request may concern made payment however considered past due according credit rating severely affected sure causing root cause behind concern circumstance occurred last month corrected case escalated aware grace period per several conversation customer care management team account thank recent card payment loan payment effective applied balance loan card payment initiated yet cleared payment clear payment posted account removed continue owe note receive day late penalty either made payment within grace period per contract expertise regarding matter greatly appreciated next payment due amount please correct error second time happened concern continue occur payment paid prior late payment fee assessed grace period expiration fortunate several credit monitoring platform identified error would considered two month behind unable refinance residence last month net credit must wait note yet receive formal response regarding error corresponding customer care professional also understand past due reading internal note,227,credit_reporting
mortgages_and_loans,earlier complaint somehow got lost received car loan county paid bank recognized payoff county clerk office auto title still record clear title two branch contacted least time get apology action give result likewise county clerk office please help,220,credit_card
credit_reporting,note listed wrong credit card name previous complaint id correction citicards cbna citibank reporting outdated information credit reporting agency credit card company report outdated information,221,credit_card
retail_banking,please see attached document happened went bank america atm system withdrawal last checking account went use local metro subway purchase metro card gave lady one boa dispensed atm system hear little money fake flabbergasted hear word immediately gave able collect stuck fake bill money caused great embarrassment distressed elderly hear last little dollar fake large company like boa put trust banking institute immediately went boa matter addressed looked fraudster take reimbursement distraught moment endeavor branch said would investigate matter would notified allowed week communication email countless time go back branch get end result dispute simply stated boa large company chump change consumer last loooking reimbursement still hold level stress caused,99,credit_card
retail_banking,related ftc chase blocked complaintants access ftc chase employee kept going changing way complainant account unlocked ftc around gas pump failed process chase credit card complaintant started recording footage went gas pump seems wrongdoing perpetrated employee premise complaintant let employee know backend system chase could fault causing issue second attempt met notification chase attempt different merchant chase failed successfully process payment chase denies wrongdoing directs fault sending wrong billing chase processed despite successfully added beforehand correct information complaintant note different merchant processed payment around chase struggling activate mobile feature card add system different note complaintant changed billing mailing address chase well email address complaintant initiated completed several transfer around pst chase tried contact complaintant possible fraud attempt account due average normal transfer initiated complaintant acknowledges security measure taken chase however employee phone insisted complaintant contact local branch banker contact call center another sudden shift procedure made chase employee around pst different manager answered call insisted complaintant visit local authentication asked whether receiving verifiying call promptly earlier representative flagged account would prevented lock manager unable give concrete answer chase manager unable comment whether different employee make subjective conclusion requiring extra arbitrary measure authenticate user account course year chase arbitrary applying measure unlock complaintant account ranging using debit card authentication unavailable due complaintant mobile carrier information matching information mobile public record chase query visiting local branch id call back supervisory customer service line calling local branch banker call chase main customer service line,239,credit_card
debt_collection,summary set payment arrangement reinstate internet service broke arrangement shut next day made new arrangement turned back went back arrangement le hour later demanded money shut service happened previously internet service ended final balance currently working starting new job called phone asked make partial payment toward past due balance beyond normal monthly bill restore service least paycheck start coming pay previous balance full rep system collection agency phone agreed term sale asked minimum payment could advised three u agreement pay extra top normal bill order restore service pay towards past due could made payment plus debit card convenience fee confirmation ic system account advised normal monthly bill arrive mail service restored le hour later service cut called ask happened collection advised payment made insufficient prior balance need paid full restore service advised arrangement ic system sale said honor prior agreement advised expectation set prior charging card let know company honoring advising customer could assist asked supervisor call back immediately call called ic system see misunderstanding could cleared end conferenced call ic system sale supervisor could discus issue advised payment made incorrectly processed rep one time payment rather recurring payment advised recurring monthly arrangement seeing approval restore service asked get corrected asked repayment scheduled come month automatically system issue could set autopay said call next month pay set autopay time instead thoroughly note plan agreed satisfactory turned service back even hung le hour ending call get call supervisor collection supervisor requested earlier let know cleared confusion tell matter resolved past due still need paid full minus paid filled arrangement broken shortly getting payment also told agreed autopay arrangement confirmed would honor prior arrangement even though fellow supervisor signed unless made additional payment immediately disconnect service would honor company word offered compromise changed arrangement every week throw extra today could keep internet new job requires internet work remotely choice agree called ic system paid plus processing fee rep confirmation arrangement two day made know someone going call tomorrow demanding new term agreement made previously mean nothing hold accountability tell customer take payment false pretense,242,credit_card
retail_banking,ftc ftc complaintant used venmo service without problem past two different bank account around complaintant voluntarily terminated account venmo staff indicated bank statement needed reactivate bank account account however new account bank statement necessary verify account ownership complaintant traveled visited various place hotspot certain party using venmo time well exchanging payment venmo suddenly complaintants account require photo id upload upon upload venmo went require bank statement bank account related venmo account contradicting earlier statement bank statement needed migrating previous account newer account complaintant questioned whether valid reason place restriction venmo account venmo sent final venmo statement list transaction interestingly venmo sent updated statement upon confronted complaintant sending incomplete information mention venmo needed complaintants help navigating around system complaintant baffled paypal overlooking whatever security flaw venmo allowed complaintant platform venmo employee kept recommending paypal complaintant transfer instead complaintant verified venmo representative account operational adding debit card information add mystery phone number never used venmo rejected invalid number upon enrollment venmo claim complaintant much high risk allowed venmo platform citing previous use bank account platform problematic mention previous closed voluntarily without issue call indicates problem found venmo representative complaintant account well insisting addition debit card would fix remaining issue venmo staff seen disguising request bank statement use taking unnecessary role enhancing banking security complaintant recall action taken part cause problem venmo unilaterally started unfounded act later accuse complaintant unreasonable,247,credit_card
credit_reporting,tx tx xxxxxxxx xxxxxxxx fraudulent application submitted name identity used without consent fraudulently obtain good service extend credit without first contacting personally verifying application information day evening,251,credit_card
credit_reporting,tx tx xxxxxxxx xxxxxxxx xxxxxxxx xxxxxxxx fraudulent application submitted name identity used without consent fraudulently obtain good service extend credit without first contacting personally verifying application information day evening,252,credit_card
credit_reporting,tx tx ga fraudulent application submitted name identity used without consent fraudulently obtain good service extend credit without first contacting personally verifying application information day evening,254,credit_card
credit_reporting,tx tx fraudulent application submitted name identity used without consent fraudulently obtain good service extend credit without first contacting personally verifying application information day evening,255,credit_card
credit_reporting,tx tx co co xxxxxxxx fraudulent application submitted name identity used without consent fraudulently obtain good service extend credit without first contacting personally verifying application information day evening,259,credit_card
credit_reporting,tx tx xxxxxxxx co co xxxxxxxx fraudulent application submitted name identity used without consent fraudulently obtain good service extend credit without first contacting personally verifying application information day evening,260,credit_card
credit_reporting,xxxxxxxx xxxxxxxx tx tx ga fraudulent application submitted name identity used without consent fraudulently obtain good service extend credit without first contacting personally verifying application information day evening,29,credit_card
credit_reporting,phone number mine tx address corrected mine potentially negative status open account type credit card balance department education collection account past due account mine,262,credit_card
credit_reporting,placed collection victim year contacted explained transferred several time disrespected customer service rep explaining situation wrong person company unprofessional also sent copy police report also file cfpb ftc unacceptable,277,debt_collection
credit_reporting,clear one advantage received phone call email called back advised gone day would attempt contact back never received response via email phone called back callback list lady spoke may stated name recall nevertheless stated account manager proceeded without verifying speaking immediately call emailed received response emailed company customer service twice still received nothing advised would contact cfpb lack professionalism lack also previously advised put stop payment month bank ach setup never said would give nsf fee advised agent paying attempted get waived supervisor denied also attempted remove account ach said unable feel misleading violation udaap definitely believe lack customer service courteous customer horrendous definitely audited,282,credit_card
debt_collection,please take thing credit report account name account number account type credit card account status term payment status paid paying agreed date open monthly payment past due balance high balance limit comment company documented payment past month company past due balance thing place bankruptcy pay last payment date account name account number account type collection account status open account original creditor open date close open last payment amount past due amount original balance current balance comment chapter date account name account account type collection account status open account original creditor open date close open last payment amount past due amount original balance current balance comment paid collection last payment date account name account account type collection account status open account original creditor open date close open last payment amount past due amount original balance current balance comment chapter bankruptcy last payment date account namxxxx account number account type collection account status open account original creditor open date close open last payment amount past due amount original balance current balance comment chapter bankruptcy last payment date account name account number account type collection account status open account original creditor open date close open last payment amount past due amount original balance current balance comment chapter bankruptcy,296,credit_reporting
debt_collection,network assistance authorized bill invalid date service claim performed assistance never saw never talked never authorized anything billed insurance denied network never authorized primary network received billing manager disputed bill requested documentation authorization service response contact unpaid bill reported credit bureau contact collection agency noticed lower credit rating called billing dispute phone rep told collection agency capital account took note account manager call back also said provider pick message month contact billing dispute letter sent capital account responded bill documentation authorized billing submitted texas department insurance complaint second letter requesting removal credit bureau filing clear credit unable support bill response documentation,300,credit_card
retail_banking,duplicate told cfpb representative make sure put sentence top headline made phone call cfpb month phone well fargo bank note cfpb complaint well fargo refused give record account opened closed bank since inception well fargo lied cfpb numerous occasion last answer complaint well fargo wf promised reach cfpb never wf answer submitted false link file unopenable unopenable cfpb made numerous phone call identifying direct refusal misdirection resolve wf closed account several fraudulent transaction included fake sham account banker opened closed recognized large charge thousand dollar complained see charge wf closed account offered remedy repayment caused irreparable financial harm last complaint asked wf remedy harmful action sent account information statement well fargo provided false link unopenable cfpb wf gone way cover fraud caused ten thousand dollar due fraud refused provide account legally required lied regulator criminal act dealing issue year cost money hundred hour time action deplorable certainly living promise past ceo lied several government committee including senate committee banking housing urban affair honored agreement penalty cfpb promise remediation look forward positive change regulating body cfpb enact based upon continued fraud exposed dating back decade please also consider several lawsuit recently filed series issue seeking remedy fraud year proper resolve thank,306,credit_card
credit_reporting,tx tx delete wrong address address never late verified accurate review attached document regarding account mine verifed fcra violation ftc violation failure day settle mine verifed fcra violation ftc violation failure day settle fraudulent application submitted name identity used without consent fraudulently obtain good service extend credit without first contacting personally verifying application information day evening,304,credit_card
credit_reporting,tx xxxxxxxx tx delete wrong address address never late verified accurate review attached document regarding account mine verifed fcra violation ftc violation failure day settle mine verifed fcra violation ftc violation failure day settle fraudulent application submitted name identity used without consent fraudulently obtain good service extend credit without first contacting personally verifying application information day evening,307,credit_card
debt_collection,please shocked reviewed credit report week found multiple inaccuracy credit report major credit bureau collection company never dealt attempted several time ratify issue original creditor credit bureau still reporting inaccurate unverifiable information disputed item credit reporting agency reported confirmed account valid honestly believe ever relationship collection agency original creditor also several inaccuracy account way reporting total violation fcra fdcpa law regulation good faith effort resolve matter amicably must demand proof debt specifically alleged contract instrument bearing signature well proof authority matter absent proof must correct erroneous report past debt mine writing request please provide following information please evidence authorization usc e usc f alleged matter authorization law collection information authorization law collection alleged debt please evidence authorization business operate state please evidence proof alleged debt including alleged contract instrument bearing signature please provide complete account history including charge added collection activity day upon receipt letter provide strict proof contract event provide strict proof contract must cease desist collection effort immediately remove derogatory information reported consumer reporting agency addition need provide agreement writing closing file ceasing collecting activity deleting information related reference number credit report youve furnished information event transfer account attorney without providing proof contract proving claim immediate reported code ethic violation,327,credit_reporting
debt_collection,duplicate complaint per coversations cfpb also agree please review respond thank may concern writing letter notify continuing violation fair credit reporting act section fair collection practice act committed huntington merit several act dispute letter submission made end attempt proved futile time request made even acknowledged response attach article compliant evidencing correspondence took place unequivocally clear never made refusal pay gave notice claim alleged disputed due negligence noncompliance refusal delete unverified information consumer file cost tremendously regard employment opportunity residency approval line approval administrative fee dispute process,329,credit_reporting
